0, 1, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00002.png', 4.51123195762577
20, 21, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00022.png', 5.45134744666353
21, 22, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00023.png', 5.357503782419683
22, 23, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00024.png', 5.363932077896321
23, 24, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00025.png', 6.259205446456648
24, 25, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00026.png', 5.735509359627785
25, 26, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00027.png', 5.924269807596098
26, 27, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00028.png', 5.3668494336268004
27, 28, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00029.png', 4.587962505808802
28, 29, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00030.png', 4.474310853698207
29, 30, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00031.png', 4.312328240581789
30, 31, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00032.png', 4.364855290653335
31, 32, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00033.png', 4.037376685053917
32, 33, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00034.png', 4.5001793246592765
33, 34, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00035.png', 4.421627802850095
34, 35, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00036.png', 4.429597769063862
35, 36, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00037.png', 4.399678862299035
36, 37, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00038.png', 4.700082999598822
37, 38, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00039.png', 5.419435801483651
38, 39, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00040.png', 5.0189337721619305
39, 40, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00041.png', 5.242794363967291
40, 41, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00042.png', 5.030041498280846
41, 42, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00043.png', 5.512202256172411
42, 43, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00044.png', 5.512523742411086
43, 44, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00045.png', 5.378312947626804
44, 45, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00046.png', 5.164390572667905
45, 46, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00047.png', 4.92964497328179
46, 47, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00048.png', 4.4557483622150125
47, 48, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00049.png', 4.1051377107177265
48, 49, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00050.png', 5.080359151731636
49, 50, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00051.png', 5.877711782502049
50, 51, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00052.png', 5.910824805631594
51, 52, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00053.png', 5.291463191340493
52, 53, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00054.png', 5.118425760213215
53, 54, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00055.png', 5.517437111565831
54, 55, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00056.png', 4.659507745107991
55, 56, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00057.png', 4.322344670730926
56, 57, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00058.png', 5.261556279089134
57, 58, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00059.png', 4.306141583420022
58, 59, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00060.png', 4.292352237543537
59, 60, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00061.png', 4.453763490612043
60, 61, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00062.png', 4.565694845095088
61, 62, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00063.png', 5.980773230945665
62, 63, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00064.png', 6.1917825009179035
63, 64, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00064.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00065.png', 5.733122555938166
64, 65, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00065.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00066.png', 5.329572958119416
65, 66, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00066.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00067.png', 5.139932743075298
66, 67, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00067.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00068.png', 5.1333086034048
67, 68, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00068.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00069.png', 4.641672609264171
68, 69, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00069.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00070.png', 5.546119284471303
69, 70, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00070.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00071.png', 5.219948276715729
70, 71, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00071.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00072.png', 5.454471738293417
71, 72, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00072.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00073.png', 6.3697508833085035
72, 73, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00073.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00074.png', 6.0787552232735385
73, 74, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00074.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00075.png', 5.591480318627822
74, 75, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00075.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00076.png', 6.282486246858504
75, 76, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00076.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00077.png', 5.93089356032155
76, 77, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00077.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00078.png', 6.098911344564443
77, 78, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00078.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00079.png', 5.915966636531082
78, 79, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00079.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00080.png', 5.213072570580433
79, 80, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00080.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00081.png', 5.584655721920783
80, 81, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00081.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00082.png', 5.424766286613895
81, 82, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00082.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00083.png', 4.1001315868487405
82, 83, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00083.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00084.png', 4.733894849402903
83, 84, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00084.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00085.png', 4.963778335681656
84, 85, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00085.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00086.png', 6.197896927941839
85, 86, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00086.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00087.png', 5.212105516200968
86, 87, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00087.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00088.png', 5.469333012214029
87, 88, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00088.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00089.png', 6.141847139648517
88, 89, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00089.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00090.png', 6.809111335771968
89, 90, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00090.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00091.png', 5.706151509935998
90, 91, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00091.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00092.png', 6.227541735226778
91, 92, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00092.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00093.png', 5.536137872367851
92, 93, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00093.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00094.png', 5.123917228494868
93, 94, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00094.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00095.png', 5.412399978491742
94, 95, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00095.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00096.png', 5.15579499303482
95, 96, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00096.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00097.png', 6.332104144656155
96, 97, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00097.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00098.png', 5.430707446499464
97, 98, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00098.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00099.png', 6.650179269654502
98, 99, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00099.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00100.png', 5.823578680201251
99, 100, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00100.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00101.png', 6.465982785651013
100, 101, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00101.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00102.png', 6.383838290414116
101, 102, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00102.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00103.png', 5.875141814439062
102, 103, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00103.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00104.png', 5.8689953205489696
103, 104, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00104.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00105.png', 6.18972228439868
104, 105, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00105.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00106.png', 5.5283856519570165
105, 106, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00106.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00107.png', 5.344205252076489
106, 107, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00107.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00108.png', 5.654987798105928
107, 108, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00108.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00109.png', 6.061922027617825
108, 109, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00109.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00110.png', 5.881965682165429
109, 110, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00110.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00111.png', 5.544264510692081
110, 111, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00111.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00112.png', 6.2323112544974055
111, 112, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00112.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00113.png', 4.958758111097865
112, 113, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00113.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00114.png', 5.059942425703845
113, 114, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00114.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00115.png', 5.293864656323216
114, 115, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00115.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00116.png', 5.467991868351928
115, 116, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00116.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00117.png', 5.315207667218916
116, 117, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00117.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00118.png', 5.764496992264753
117, 118, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00118.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00119.png', 5.278729463326893
118, 119, './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00119.png', './GTEA61/flow_x_processed/S2/spread_jam,spoon,bread/1/flow_x_00120.png', 5.1623159385983515
