0, 1, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0002.png', 0.26170712210127545
17, 18, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0019.png', 0.2592291924724938
18, 19, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0020.png', 0.24444512043927752
19, 20, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0021.png', 0.2421268414847135
20, 21, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0022.png', 0.2608315357342089
21, 22, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0023.png', 0.255626695774572
22, 23, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0024.png', 0.2208541821340675
23, 24, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0025.png', 0.20142981062739834
24, 25, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0026.png', 0.2317138925124637
25, 26, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0027.png', 0.25238811230635694
26, 27, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0028.png', 0.22044472637036538
27, 28, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0029.png', 0.22195815987690826
28, 29, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0030.png', 0.2414176546505643
29, 30, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0031.png', 0.07488388111866512
30, 31, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0033.png', 0.01187837230728718
32, 33, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0034.png', 0.01187837230728718
33, 34, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0036.png', 0.010851145512816433
35, 36, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0037.png', 0.010851145512816433
36, 37, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0038.png', 0.027331060823813008
37, 38, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0039.png', 0.035772841192656404
38, 39, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0040.png', 0.03136184071339305
39, 40, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0041.png', 0.03340738411723077
40, 41, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0042.png', 0.06198478750620261
41, 42, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0043.png', 0.24581585881490944
42, 43, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0044.png', 0.21231387843528474
43, 44, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0045.png', 0.2967011230689932
44, 45, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0046.png', 0.3174883490215158
45, 46, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0047.png', 0.3170032361151876
46, 47, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0048.png', 0.324000043959521
47, 48, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0049.png', 0.35174470403150215
48, 49, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0050.png', 0.3209767453875539
49, 50, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0051.png', 0.297489206334854
50, 51, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0052.png', 0.328881415186703
51, 52, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0053.png', 0.340268082086383
52, 53, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0054.png', 0.3597225845040814
53, 54, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0055.png', 0.39198179254731835
54, 55, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0056.png', 0.3276902455570351
55, 56, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0057.png', 0.3277924360679216
56, 57, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0058.png', 0.2979544065482366
57, 58, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0059.png', 0.28321562809543155
58, 59, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0060.png', 0.3103461052809111
59, 60, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0061.png', 0.2508781956310976
60, 61, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0062.png', 0.28475357286657094
61, 62, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0063.png', 0.24334611571745351
62, 63, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0064.png', 0.2920591337206319
63, 64, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0065.png', 0.22833334612087886
64, 65, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0066.png', 0.22334514797407767
65, 66, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0066.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0067.png', 0.20561696813873587
66, 67, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0067.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0068.png', 0.23535283190709766
67, 68, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0068.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0069.png', 0.24507215848117758
68, 69, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0069.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0070.png', 0.2778380939237339
69, 70, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0070.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0071.png', 0.17591092440419132
70, 71, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0071.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0072.png', 0.20662697698932392
71, 72, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0072.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0073.png', 0.006087164821851623
72, 73, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0073.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0074.png', 0.009367612527378423
73, 74, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0074.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0075.png', -0.0
74, 75, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0075.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0076.png', -0.0
75, 76, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0076.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0077.png', -0.0
76, 77, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0077.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0078.png', -0.0
77, 78, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0078.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0079.png', -0.0
78, 79, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0079.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0080.png', -0.0
79, 80, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0080.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0081.png', -0.0
80, 81, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0081.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0082.png', -0.0
81, 82, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0082.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0083.png', -0.0
82, 83, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0083.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0084.png', -0.0
83, 84, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0084.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0085.png', -0.0
84, 85, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0085.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0086.png', -0.0
85, 86, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0086.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0087.png', -0.0
86, 87, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0087.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0088.png', -0.0
87, 88, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0088.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0089.png', -0.0
88, 89, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0089.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0090.png', -0.0
89, 90, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0090.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0091.png', -0.0
90, 91, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0091.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0092.png', -0.0
91, 92, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0092.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0093.png', -0.0
92, 93, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0093.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0094.png', -0.0
93, 94, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0094.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0095.png', -0.0
94, 95, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0095.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0096.png', -0.0
95, 96, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0096.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0097.png', -0.0
96, 97, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0097.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0098.png', -0.0
97, 98, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0098.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0099.png', 0.007297296376231369
98, 99, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0099.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0100.png', 0.01204811303304426
99, 100, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0100.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0101.png', 0.005802958220595753
100, 101, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0101.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0102.png', 0.006556541218943882
101, 102, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0102.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0103.png', 0.014631495727163346
102, 103, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0103.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0104.png', 0.009367612527378423
103, 104, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0104.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0105.png', 0.019501179816486896
104, 105, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0105.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0106.png', 0.013641547481076557
105, 106, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0106.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0107.png', 0.022497453810019805
106, 107, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0107.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0108.png', 0.02856666363285629
107, 108, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0108.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0109.png', 0.011281033314529098
108, 109, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0109.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0110.png', 0.023554331536066793
109, 110, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0110.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0111.png', 0.04101238817773743
110, 111, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0111.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0112.png', 0.03858193888505798
111, 112, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0112.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0113.png', 0.059658858364838974
112, 113, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0113.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0114.png', 0.052542619988543995
113, 114, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0114.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0115.png', 0.06198478750620261
114, 115, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0115.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0116.png', 0.04565057616774142
115, 116, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0116.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0117.png', 0.048059274506236836
116, 117, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0117.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0118.png', 0.053870017201693335
117, 118, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0118.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0119.png', 0.06198478750620261
118, 119, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0119.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0120.png', 0.06687265073178118
119, 120, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0120.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0121.png', 0.0393957007121233
120, 121, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0121.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0122.png', 0.041748688623211315
121, 122, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0122.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0123.png', 0.04194899951521171
122, 123, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0123.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0124.png', 0.04027317017241502
123, 124, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0124.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0125.png', 0.023027053633690064
124, 125, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0125.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0126.png', 0.14030143096453002
125, 126, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0126.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0127.png', 0.1773835124163407
126, 127, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0127.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0128.png', 0.17160122516698456
127, 128, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0128.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0129.png', 0.18203955623304138
128, 129, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0129.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0130.png', 0.1911351127891919
129, 130, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0130.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0131.png', 0.18049247062487422
130, 131, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0131.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0132.png', 0.2067951219233211
131, 132, './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0132.png', './GTEA61/processed_frames2/S1/pour_mustard,hotdog,bread/1/mmaps/map0133.png', 0.2010474747651733
