0, 1, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00002.png', 4.437822765949141
18, 19, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00020.png', 5.471251639727863
19, 20, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00021.png', 4.877254863704169
20, 21, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00022.png', 5.053156743941207
21, 22, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00023.png', 4.916647932550644
22, 23, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00024.png', 4.808210743700036
23, 24, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00025.png', 4.53903944252527
24, 25, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00026.png', 4.532277520474696
25, 26, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00027.png', 4.950754591030654
26, 27, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00028.png', 5.180017782381441
27, 28, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00029.png', 5.3398785968869245
28, 29, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00030.png', 4.709134725239606
29, 30, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00031.png', 5.112153296972281
30, 31, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00032.png', 5.989545917194235
31, 32, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00033.png', 5.084949854956212
32, 33, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00034.png', 5.9464929750316005
33, 34, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00035.png', 5.174071445404391
34, 35, './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/pour_ketchup,hotdog,bread/1/flow_x_00036.png', 5.696662143532595
