0, 1, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0002.png', 5.652345561668606
17, 18, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0019.png', 4.792905670725735
18, 19, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0020.png', 4.533774405592721
19, 20, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0021.png', 4.775655223281073
20, 21, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0022.png', 4.762750130336167
21, 22, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0023.png', 4.648924582893421
22, 23, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0024.png', 4.658434400831498
23, 24, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0025.png', 4.744100296484412
24, 25, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0026.png', 4.880397857348035
25, 26, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0027.png', 4.6518070643366665
26, 27, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0028.png', 4.616516469030893
27, 28, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0029.png', 4.906501101267658
28, 29, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0030.png', 4.7574408219093876
29, 30, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0031.png', 4.818000456433581
30, 31, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0032.png', 4.753092761423824
31, 32, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0033.png', 4.695367397851209
32, 33, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0034.png', 4.949908279883466
33, 34, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0035.png', 4.8501463208697615
34, 35, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0036.png', 4.6660667236898945
35, 36, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0037.png', 5.011083619704933
36, 37, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0038.png', 5.031397127379896
37, 38, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0039.png', 4.917441241001228
38, 39, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0040.png', 5.025572984867575
39, 40, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0041.png', 5.109399053666464
40, 41, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0042.png', 5.215585008711312
41, 42, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0043.png', 5.402750478306284
42, 43, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0044.png', 5.283036500330897
43, 44, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0045.png', 4.780317253631187
44, 45, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0046.png', 5.143139264640219
45, 46, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0047.png', 5.049269336911329
46, 47, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0048.png', 5.096125662715953
47, 48, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0049.png', 4.761167347186791
48, 49, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0050.png', 5.244695636158488
49, 50, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0051.png', 5.228332348539046
50, 51, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0052.png', 5.138723038171759
51, 52, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0053.png', 5.274386456639511
52, 53, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0054.png', 4.930506738711572
53, 54, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0055.png', 5.085082430726445
54, 55, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0056.png', 5.520216362718535
55, 56, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0057.png', 5.3218251400921295
56, 57, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0058.png', 4.774927530692892
57, 58, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0059.png', 4.965460470765075
58, 59, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0060.png', 5.174847949191483
59, 60, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0061.png', 5.029427997037142
60, 61, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0062.png', 5.28082599261576
61, 62, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0063.png', 5.019217797017762
62, 63, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0064.png', 4.767765654181764
63, 64, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0065.png', 4.590451048109958
64, 65, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0066.png', 4.506419409214048
65, 66, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0067.png', 5.165783260946177
66, 67, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0068.png', 4.709398078848742
67, 68, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0069.png', 4.682152836401176
68, 69, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0070.png', 5.014762271875309
69, 70, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0071.png', 4.842781136987651
70, 71, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0072.png', 4.6275730402812885
71, 72, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0073.png', 4.910371745637659
72, 73, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0074.png', 5.1421705474747395
73, 74, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0075.png', 4.762907651579527
74, 75, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0076.png', 4.639560176447209
75, 76, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0077.png', 4.779815570964282
76, 77, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0078.png', 4.750072831461556
77, 78, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0079.png', 4.5270992462436865
78, 79, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0080.png', 5.4172805423897294
79, 80, './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S4/pour_honey,cup/1/rgb/rgb0081.png', 5.838466650596536
