0, 1, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 4.516565989821888
35, 36, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0037.png', 5.755862401135856
36, 37, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0038.png', 5.834455989198878
37, 38, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0039.png', 5.58583759231853
38, 39, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0040.png', 5.278359780888877
39, 40, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0041.png', 5.111290843474558
40, 41, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0042.png', 5.054835029959805
41, 42, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0043.png', 4.387293709620793
42, 43, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0044.png', 4.286900981914766
43, 44, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0045.png', 3.8301065641329943
44, 45, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0046.png', 4.610170325213664
45, 46, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0047.png', 4.292223755173914
46, 47, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0048.png', 4.473720547158917
47, 48, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0049.png', 5.046935776008622
48, 49, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0050.png', 5.365013633902117
49, 50, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0051.png', 5.499915356199637
50, 51, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0052.png', 5.471646508042903
51, 52, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0053.png', 5.518747593583632
52, 53, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0054.png', 5.389307181548443
53, 54, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0055.png', 5.364344427128762
54, 55, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0056.png', 5.431864604664168
55, 56, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0057.png', 5.43667736754405
56, 57, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0058.png', 5.531444322850445
57, 58, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0059.png', 5.4743838172670145
58, 59, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0060.png', 5.340559464428034
59, 60, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0061.png', 5.296952583704946
60, 61, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0062.png', 5.843057217778308
61, 62, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0063.png', 5.9223962693062
62, 63, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0064.png', 5.751564749595782
63, 64, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0065.png', 6.19620286713421
64, 65, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0066.png', 6.789719273823627
65, 66, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0067.png', 6.4387378975074245
66, 67, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0068.png', 5.976025924492977
67, 68, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0069.png', 5.462912992090775
68, 69, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0070.png', 5.191626224394768
69, 70, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0071.png', 5.411886675383626
70, 71, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0072.png', 5.76205284086349
71, 72, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0073.png', 5.9457884739576965
72, 73, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0074.png', 5.830780921359801
73, 74, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0075.png', 5.996325185161387
74, 75, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0076.png', 5.737972625755141
75, 76, './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S2/pour_mayonnaise,cheese,bread/1/rgb/rgb0077.png', 5.652478164096589
