0, 1, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00002.png', 5.069000127369864
57, 58, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00058.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00059.png', 3.534244071216001
58, 59, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00059.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00060.png', 3.187968039044143
59, 60, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00060.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00061.png', 3.192879791645633
60, 61, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00061.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00062.png', 3.433739521355125
61, 62, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00062.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00063.png', 3.427071352218886
62, 63, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00063.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00064.png', 3.5811573737146167
63, 64, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00064.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00065.png', 3.8346298135036645
64, 65, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00065.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00066.png', 3.341927210154576
65, 66, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00066.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00067.png', 3.7377170262920116
66, 67, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00067.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00068.png', 3.899596991577345
67, 68, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00068.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00069.png', 3.8055535378099306
68, 69, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00069.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00070.png', 4.125600820383877
69, 70, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00070.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00071.png', 4.3438543624956445
70, 71, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00071.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00072.png', 4.1702007425612875
71, 72, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00072.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00073.png', 3.5750641169307236
72, 73, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00073.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00074.png', 3.866878650398962
73, 74, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00074.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00075.png', 4.008804537531308
74, 75, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00075.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00076.png', 3.993486829818
75, 76, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00076.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00077.png', 4.036928284474603
76, 77, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00077.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00078.png', 4.161558858383285
77, 78, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00078.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00079.png', 4.1827877048714965
78, 79, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00079.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/2/flow_x_00080.png', 4.650987019054555
