0, 1, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00002.png', 5.94237760807427
16, 17, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00018.png', 5.558927622008056
17, 18, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00019.png', 4.948390552216026
18, 19, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00020.png', 5.623813005266126
19, 20, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00021.png', 6.152973177225292
20, 21, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00022.png', 6.008651118746815
21, 22, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00023.png', 6.781817539114928
22, 23, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00024.png', 7.371938997132185
23, 24, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00025.png', 5.824424817628171
24, 25, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00026.png', 7.017051753336768
25, 26, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00027.png', 6.8560209903553915
26, 27, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00028.png', 6.7267016717377714
27, 28, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00029.png', 6.061746621243364
28, 29, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00030.png', 7.266223304417869
29, 30, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00031.png', 6.972754510525738
30, 31, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00032.png', 5.389581134960031
31, 32, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00033.png', 5.779916805965023
32, 33, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00034.png', 5.6292399682137875
33, 34, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00035.png', 5.248105902598747
34, 35, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00036.png', 5.825395894706642
35, 36, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00037.png', 4.845743894713242
36, 37, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00038.png', 5.055752201531674
37, 38, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00039.png', 4.846763527707457
38, 39, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00040.png', 3.973992547288441
39, 40, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00041.png', 4.007659893481638
40, 41, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00042.png', 3.773428356833612
41, 42, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00043.png', 4.094158466644175
42, 43, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00044.png', 4.526190748502616
43, 44, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00045.png', 4.803725769498653
44, 45, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00046.png', 4.1157658756148345
45, 46, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00047.png', 4.47746105946465
46, 47, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00048.png', 4.471087818942778
47, 48, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00049.png', 4.40882752852092
48, 49, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00050.png', 4.004520621257018
49, 50, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00051.png', 4.715420413842327
50, 51, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00052.png', 4.924286739795709
51, 52, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00053.png', 4.033122259816856
52, 53, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00054.png', 4.120381400045718
53, 54, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00055.png', 3.71936552400933
54, 55, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00056.png', 3.88438207031825
55, 56, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00057.png', 4.403053160208328
56, 57, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00058.png', 4.021784221085469
57, 58, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00059.png', 3.95771454626917
58, 59, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00060.png', 4.310235538947931
59, 60, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00061.png', 3.985818051479121
60, 61, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00062.png', 4.18483477320418
61, 62, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00063.png', 4.476273438658663
62, 63, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00064.png', 4.020318463038431
63, 64, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00064.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00065.png', 3.6943205317445584
64, 65, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00065.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00066.png', 3.78054457675156
65, 66, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00066.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00067.png', 3.8417903123658617
66, 67, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00067.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00068.png', 3.396917500890325
67, 68, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00068.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00069.png', 4.193263889500909
68, 69, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00069.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00070.png', 4.36276430891432
69, 70, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00070.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00071.png', 4.611264302910288
70, 71, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00071.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00072.png', 4.4622971633910735
71, 72, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00072.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00073.png', 3.354803534189781
72, 73, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00073.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00074.png', 4.233474606437419
73, 74, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00074.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00075.png', 4.242226968138433
74, 75, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00075.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00076.png', 4.174622641957739
75, 76, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00076.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00077.png', 4.316163785900422
76, 77, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00077.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00078.png', 4.331249844919777
77, 78, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00078.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00079.png', 6.1434482835810975
78, 79, './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00079.png', './GTEA61/flow_x_processed/S2/pour_mustard,hotdog,bread/1/flow_x_00080.png', 6.501438944083952
