0, 1, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0002.png', 5.69595931106531
43, 44, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0045.png', 4.983898881707252
44, 45, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0046.png', 5.042193447760826
45, 46, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0047.png', 5.045700097099501
46, 47, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0048.png', 4.878371979386274
47, 48, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0049.png', 5.259370250988067
48, 49, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0050.png', 5.231284388373838
49, 50, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0051.png', 5.278153292960086
50, 51, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0052.png', 5.224399262273489
51, 52, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0053.png', 5.107544669779528
52, 53, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0054.png', 5.0439444938662135
53, 54, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0055.png', 5.270070246905739
54, 55, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0056.png', 5.544945073696153
55, 56, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0057.png', 5.474330749223129
56, 57, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0058.png', 5.771689248646334
57, 58, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0059.png', 5.981158781614094
58, 59, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0060.png', 6.176362534365077
59, 60, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0061.png', 6.265287009961956
60, 61, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/rgb/rgb0062.png', 6.47593226392185
