0, 1, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0002.png', 5.652942243177746
20, 21, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0022.png', 4.936662897028421
21, 22, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0023.png', 4.865474901119536
22, 23, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0024.png', 4.737870811414103
23, 24, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0025.png', 4.7553634116630255
24, 25, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0026.png', 4.761643197582331
25, 26, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0027.png', 4.240890205594641
26, 27, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0028.png', 4.415074972876459
27, 28, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0029.png', 4.78116404575975
28, 29, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0030.png', 4.395032134097738
29, 30, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0031.png', 4.35254117097586
30, 31, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0032.png', 4.303123875477635
31, 32, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0033.png', 4.229748612360611
32, 33, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0034.png', 4.660121194701319
33, 34, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0035.png', 4.798897473443391
34, 35, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0036.png', 4.42939779855253
35, 36, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0037.png', 4.662087502595741
36, 37, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0038.png', 4.841831706256272
37, 38, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0039.png', 4.842421489204755
38, 39, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0040.png', 5.08566559917885
39, 40, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0041.png', 5.0865713062440925
40, 41, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0042.png', 4.9310799473091835
41, 42, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0043.png', 4.931385520724005
42, 43, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0044.png', 4.91400898076175
43, 44, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0045.png', 4.684305305471009
44, 45, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0046.png', 4.934738458193415
45, 46, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0047.png', 4.899087618253422
46, 47, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0048.png', 4.76030187559118
47, 48, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0049.png', 4.884005008512936
48, 49, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0050.png', 5.134471925824571
49, 50, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0051.png', 4.977819996790627
50, 51, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0052.png', 4.7801847158736335
51, 52, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0053.png', 4.848748968649668
52, 53, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0054.png', 4.452851050268548
53, 54, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0055.png', 4.835835043051538
54, 55, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0056.png', 4.326409933231772
55, 56, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0057.png', 4.5637208642833285
56, 57, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0058.png', 4.477734745171678
57, 58, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0059.png', 4.74032785492401
58, 59, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0060.png', 4.353947435975185
59, 60, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0061.png', 4.647345073745965
60, 61, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0062.png', 4.362550880551672
61, 62, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0062.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0063.png', 4.6911048301880065
62, 63, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0063.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0064.png', 5.001653310863855
63, 64, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0064.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0065.png', 4.746671830586084
64, 65, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0065.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0066.png', 4.315173211640904
65, 66, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0066.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0067.png', 4.516807806864547
66, 67, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0067.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0068.png', 4.663997998300566
67, 68, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0068.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0069.png', 4.750779248291552
68, 69, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0069.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0070.png', 5.4212548520245365
69, 70, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0070.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0071.png', 5.500659462090384
70, 71, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0071.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0072.png', 5.6489680916073235
71, 72, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0072.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0073.png', 5.65457210876816
72, 73, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0073.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0074.png', 5.5868004389258665
73, 74, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0074.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0075.png', 5.510061244777735
74, 75, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0075.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0076.png', 5.248923388527557
75, 76, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0076.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0077.png', 5.140693731541078
76, 77, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0077.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0078.png', 4.812550543488909
77, 78, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0078.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0079.png', 5.402642261711546
78, 79, './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0079.png', './GTEA61/processed_frames2/S1/scoop_peanut,spoon/2/rgb/rgb0080.png', 5.936951741583588
