0, 1, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0002.png', 5.523859946312202
19, 20, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0021.png', 4.605737380261533
20, 21, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0022.png', 4.717483977980181
21, 22, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0023.png', 4.37770980465966
22, 23, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0024.png', 5.134215129171498
23, 24, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0025.png', 4.7850233567562945
24, 25, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0026.png', 4.812578037341659
25, 26, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0027.png', 4.7361879607427975
26, 27, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0028.png', 4.930766444612649
27, 28, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0029.png', 4.509343944410509
28, 29, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0030.png', 5.029868407167334
29, 30, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0031.png', 5.088148587012197
30, 31, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0032.png', 4.795677227331378
31, 32, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0033.png', 4.738103610073666
32, 33, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0034.png', 5.355633241044316
33, 34, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0035.png', 5.423744503110636
34, 35, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0036.png', 5.175701273387824
35, 36, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0037.png', 5.444455716152189
36, 37, './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/scoop_peanut,spoon/2/rgb/rgb0038.png', 5.621272885229442
