0, 1, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00001.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00002.png', 6.397075218827609
14, 15, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00015.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00016.png', 4.330942428944871
15, 16, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00016.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00017.png', 3.897604738901379
16, 17, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00017.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00018.png', 4.041121872153931
17, 18, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00018.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00019.png', 3.7313796631352174
18, 19, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00019.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00020.png', 4.015212611556275
19, 20, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00020.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00021.png', 4.21118178513715
20, 21, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00021.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00022.png', 3.434731684630674
21, 22, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00022.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00023.png', 3.937074006712964
22, 23, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00023.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00024.png', 4.169040410296819
23, 24, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00024.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00025.png', 5.178145081764353
24, 25, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00025.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00026.png', 5.188509016294416
25, 26, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00026.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00027.png', 4.150862380728884
26, 27, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00027.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00028.png', 4.6233777230383755
27, 28, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00028.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00029.png', 4.415093691918193
28, 29, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00029.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00030.png', 4.699461767508069
29, 30, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00030.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00031.png', 4.218350380444962
30, 31, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00031.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00032.png', 3.319720497284556
31, 32, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00032.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00033.png', 4.734342502792222
32, 33, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00033.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00034.png', 4.496711999736859
33, 34, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00034.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00035.png', 3.245383335940816
34, 35, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00035.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00036.png', 3.5573463839654225
35, 36, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00036.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00037.png', 3.3861869094766583
36, 37, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00037.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00038.png', 4.116197223093982
37, 38, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00038.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00039.png', 4.044717285412337
38, 39, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00039.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00040.png', 4.412885948538433
39, 40, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00040.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00041.png', 3.768832856943839
40, 41, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00041.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00042.png', 3.9166662357238953
41, 42, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00042.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00043.png', 3.6341528655127027
42, 43, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00043.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00044.png', 3.846815389279826
43, 44, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00044.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00045.png', 3.8735873407252024
44, 45, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00045.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00046.png', 3.3032167905296697
45, 46, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00046.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00047.png', 4.3584198154601905
46, 47, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00047.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00048.png', 3.3963552346360744
47, 48, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00048.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00049.png', 4.657038026631272
48, 49, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00049.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00050.png', 4.230226825647033
49, 50, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00050.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00051.png', 3.803858623888047
50, 51, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00051.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00052.png', 3.571654453309252
51, 52, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00052.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00053.png', 5.049728933572999
52, 53, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00053.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00054.png', 5.011617171895715
53, 54, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00054.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00055.png', 4.346731185050083
54, 55, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00055.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00056.png', 4.288396896325895
55, 56, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00056.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00057.png', 5.873668937433128
56, 57, './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00057.png', './GTEA61/flow_y_processed/S2/scoop_peanut,spoon/3/flow_y_00058.png', 5.120663915009334
