0, 1, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00002.png', 5.4645930977346255
72, 73, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00073.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00074.png', 4.274820119525806
73, 74, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00074.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00075.png', 5.05774371246499
74, 75, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00075.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00076.png', 4.269204141221812
75, 76, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00076.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00077.png', 4.7737232017298155
76, 77, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00077.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00078.png', 4.31601526400486
77, 78, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00078.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00079.png', 4.278743142463887
78, 79, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00079.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00080.png', 4.572655048927943
79, 80, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00080.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00081.png', 4.046559217212356
80, 81, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00081.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00082.png', 4.503171891825702
81, 82, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00082.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00083.png', 4.330610552832929
82, 83, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00083.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00084.png', 4.324440520145682
83, 84, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00084.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00085.png', 4.462357334920198
84, 85, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00085.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00086.png', 4.800065574209611
85, 86, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00086.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00087.png', 4.61777919464023
86, 87, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00087.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00088.png', 5.313559288156475
87, 88, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00088.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00089.png', 5.115513751066864
88, 89, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00089.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00090.png', 5.7304789108154575
89, 90, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00090.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00091.png', 5.8241236231449856
90, 91, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00091.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00092.png', 6.601430864624399
91, 92, './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00092.png', './GTEA61/flow_x_processed/S1/pour_honey,cup/1/flow_x_00093.png', 6.369684110517226
