0, 1, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00002.png', 5.256750427195568
46, 47, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00048.png', 3.533706014304406
47, 48, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00049.png', 3.7823907654301583
48, 49, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00050.png', 3.2251739301558358
49, 50, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00051.png', 3.0899471681542727
50, 51, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00052.png', 3.815589290893285
51, 52, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00053.png', 3.8057582836806567
52, 53, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00054.png', 3.4268674151045313
53, 54, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00055.png', 3.9079281510227166
54, 55, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00056.png', 4.031094865037109
55, 56, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00057.png', 4.488848719909422
56, 57, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00058.png', 4.3871483195025
57, 58, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00059.png', 4.824436269108744
58, 59, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00059.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00060.png', 4.82385158611718
59, 60, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00060.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00061.png', 4.373921231462888
60, 61, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00061.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00062.png', 4.112690182335058
61, 62, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00062.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00063.png', 3.8251025241395595
62, 63, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00063.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00064.png', 3.7719556469653313
63, 64, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00064.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00065.png', 4.628578649145634
64, 65, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00065.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00066.png', 4.739003123173991
65, 66, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00066.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00067.png', 3.8172963763862233
66, 67, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00067.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00068.png', 3.943342206078915
67, 68, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00068.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00069.png', 3.274343296734699
68, 69, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00069.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00070.png', 4.301487279665446
69, 70, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00070.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00071.png', 3.3874906958874362
70, 71, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00071.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00072.png', 3.596884697978927
71, 72, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00072.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00073.png', 3.4715592651360807
72, 73, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00073.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00074.png', 3.332302563891725
73, 74, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00074.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00075.png', 2.6778628706343794
74, 75, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00075.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00076.png', 3.0054381740413727
75, 76, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00076.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00077.png', 3.3636925778122446
76, 77, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00077.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00078.png', 3.4903288068182134
77, 78, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00078.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00079.png', 4.314158579377177
78, 79, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00079.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00080.png', 4.65976328879722
79, 80, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00080.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00081.png', 3.68991651275867
80, 81, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00081.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00082.png', 4.35223168079965
81, 82, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00082.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00083.png', 4.120778221462502
82, 83, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00083.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00084.png', 3.9858783641499813
83, 84, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00084.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00085.png', 4.294441379620546
84, 85, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00085.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00086.png', 4.336841176330177
85, 86, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00086.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00087.png', 3.375486414141012
86, 87, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00087.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00088.png', 3.9271657745705104
87, 88, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00088.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00089.png', 3.13680192669646
88, 89, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00089.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00090.png', 3.2653665512532095
89, 90, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00090.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00091.png', 3.849025495077108
90, 91, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00091.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00092.png', 3.7221027231625854
91, 92, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00092.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00093.png', 3.0000450685889506
92, 93, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00093.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00094.png', 3.718250114898865
93, 94, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00094.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00095.png', 3.4690183293443706
94, 95, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00095.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00096.png', 3.351781355295598
95, 96, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00096.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00097.png', 3.8264064057663627
96, 97, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00097.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00098.png', 3.505019130475085
97, 98, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00098.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00099.png', 3.681570695069416
98, 99, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00099.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00100.png', 4.130137048992292
99, 100, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00100.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00101.png', 4.291244662767375
100, 101, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00101.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00102.png', 4.36232222079934
101, 102, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00102.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00103.png', 4.357090966734844
102, 103, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00103.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00104.png', 4.314112999901245
103, 104, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00104.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00105.png', 4.751627784334216
104, 105, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00105.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00106.png', 4.617472377535499
105, 106, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00106.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00107.png', 5.1444112904406865
106, 107, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00107.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00108.png', 5.087868721806734
107, 108, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00108.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00109.png', 5.380689397758465
108, 109, './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00109.png', './GTEA61/flow_x_processed/S4/pour_water,cup/1/flow_x_00110.png', 5.2909910842449905
