0, 1, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00002.png', 5.576498083566525
46, 47, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00048.png', 4.080881499402052
47, 48, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00049.png', 4.366643487046044
48, 49, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00050.png', 4.253343545551365
49, 50, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00051.png', 3.6020999228367296
50, 51, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00052.png', 4.01435821768316
51, 52, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00053.png', 4.410777813569515
52, 53, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00054.png', 4.106576470886848
53, 54, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00055.png', 4.367547264446021
54, 55, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00056.png', 3.802576292440198
55, 56, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00057.png', 3.74145982162492
56, 57, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00058.png', 3.8888959526488676
57, 58, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00059.png', 3.7867304860432442
58, 59, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00059.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00060.png', 4.450663931194887
59, 60, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00060.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00061.png', 4.459797787429189
60, 61, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00061.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00062.png', 4.939446542785254
61, 62, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00062.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00063.png', 4.202543566871506
62, 63, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00063.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00064.png', 3.8464395352832996
63, 64, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00064.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00065.png', 4.720161217806412
64, 65, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00065.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00066.png', 4.710271470023977
65, 66, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00066.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00067.png', 4.618512632687533
66, 67, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00067.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00068.png', 4.814239415570518
67, 68, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00068.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00069.png', 4.249706005518794
68, 69, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00069.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00070.png', 4.780380783730614
69, 70, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00070.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00071.png', 3.8477422692006034
70, 71, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00071.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00072.png', 4.045258539671384
71, 72, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00072.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00073.png', 4.002585277247151
72, 73, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00073.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00074.png', 4.85186060650836
73, 74, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00074.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00075.png', 4.617909619225838
74, 75, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00075.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00076.png', 4.785599244311083
75, 76, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00076.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00077.png', 4.726777185164236
76, 77, './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00077.png', './GTEA61/flow_x_processed/S3/pour_honey,cup/1/flow_x_00078.png', 5.509893858024336
