0, 1, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0002.png', 0.35217058609480006
30, 31, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0033.png', 0.00874590784647976
32, 33, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0034.png', 0.028855825196786634
33, 34, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0035.png', 0.05443653205167188
34, 35, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0036.png', 0.061313727913595795
35, 36, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0037.png', 0.04960693439895478
36, 37, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0038.png', 0.0433453251017082
37, 38, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0039.png', 0.019812266905089984
38, 39, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0040.png', 0.04792978913550217
39, 40, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0041.png', 0.05412197507430938
40, 41, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0042.png', 0.05197132186625046
41, 42, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0043.png', 0.05867290165948123
42, 43, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0044.png', 0.05298595512536988
43, 44, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0045.png', 0.0255674313980208
44, 45, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0046.png', 0.046500098827367393
45, 46, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0047.png', 0.0449946582378526
46, 47, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0048.png', 0.042548669191320866
47, 48, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0049.png', 0.019889897017335012
48, 49, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0050.png', 0.03542709616206012
49, 50, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0051.png', 0.04571605052389551
50, 51, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0052.png', 0.030435972099855057
51, 52, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0053.png', 0.03171644614290613
52, 53, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0054.png', 0.04838263870281197
53, 54, './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S2/pour_ketchup,hotdog,bread/1/mmaps/map0055.png', 0.13705077737393892
