0, 1, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00002.png', 6.501126070740205
20, 21, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00021.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00022.png', 3.705931825449324
21, 22, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00022.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00023.png', 4.1902452835934385
22, 23, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00023.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00024.png', 4.0181401521975495
23, 24, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00024.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00025.png', 4.295848301544971
24, 25, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00025.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00026.png', 4.002018851647615
25, 26, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00027.png', 4.294446139734648
26, 27, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00028.png', 4.125043894398558
27, 28, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00029.png', 4.173569014665902
28, 29, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00030.png', 3.776155074408874
29, 30, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00031.png', 4.045095982101543
30, 31, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00032.png', 4.282812934517946
31, 32, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00033.png', 4.597734001753405
32, 33, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00034.png', 4.72266609094947
33, 34, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00035.png', 4.77341164525365
34, 35, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00036.png', 4.260586607988484
35, 36, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00037.png', 4.358613487678319
36, 37, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00038.png', 4.444727011205479
37, 38, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00039.png', 5.3446149070503175
38, 39, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00040.png', 5.272356743150469
39, 40, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00041.png', 5.227546870652685
40, 41, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00042.png', 6.008984765228182
41, 42, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00043.png', 5.785176385721601
42, 43, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00044.png', 4.838510218318062
43, 44, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00045.png', 5.77253024673785
44, 45, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00046.png', 6.071322955453701
45, 46, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00047.png', 5.429600194870499
46, 47, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00048.png', 5.306566366844054
47, 48, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00049.png', 6.0475420903133585
48, 49, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00050.png', 6.763158987458305
49, 50, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00051.png', 4.799936138473259
50, 51, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00052.png', 6.708171742197569
51, 52, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00053.png', 6.326511404300255
52, 53, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00054.png', 5.440022738963287
53, 54, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00055.png', 4.746834742045624
54, 55, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00056.png', 5.60748027038691
55, 56, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00057.png', 4.57662844803866
56, 57, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00058.png', 5.029804897775966
57, 58, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00059.png', 5.290931004308294
58, 59, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00060.png', 4.525940739377447
59, 60, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00061.png', 5.767556436363431
60, 61, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00062.png', 5.192417195427023
61, 62, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00063.png', 4.43960485651479
62, 63, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00064.png', 5.148992129227961
63, 64, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00065.png', 4.786206034567856
64, 65, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00066.png', 4.34520981279058
65, 66, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00067.png', 4.512841385470907
66, 67, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00068.png', 4.341361728068793
67, 68, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00069.png', 4.621417577255316
68, 69, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00070.png', 4.956405605142016
69, 70, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00071.png', 3.826405345618199
70, 71, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00072.png', 4.767406828841295
71, 72, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00073.png', 4.823452181976362
72, 73, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00074.png', 4.833790948556383
73, 74, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00075.png', 5.300051064510077
74, 75, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00076.png', 5.058900210580278
75, 76, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00077.png', 4.019483987049895
76, 77, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00078.png', 4.438859721478042
77, 78, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00078.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00079.png', 4.199010583856243
78, 79, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00079.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00080.png', 5.934992622305071
79, 80, './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00080.png', './GTEA61/flow_y_processed/S4/pour_honey,cup/1/flow_y_00081.png', 6.0964535784370515
