0, 1, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00002.png', 6.0649745121377325
31, 32, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00033.png', 3.0147156599821456
32, 33, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00034.png', 4.151235943431096
33, 34, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00035.png', 4.131653159948741
34, 35, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00036.png', 4.535193316989963
35, 36, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00037.png', 3.986148708631781
36, 37, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00038.png', 3.618156009919033
37, 38, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00039.png', 4.00436483606455
38, 39, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00040.png', 4.103204938644212
39, 40, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00041.png', 4.05712073257789
40, 41, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00042.png', 4.006985451863228
41, 42, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00043.png', 4.4563149001279685
42, 43, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00044.png', 4.890275571306708
43, 44, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00045.png', 5.283967133304998
44, 45, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00046.png', 5.070480125556581
45, 46, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00047.png', 4.286612504861635
46, 47, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00048.png', 3.729261977502693
47, 48, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00049.png', 4.121519138767749
48, 49, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00050.png', 4.3548480762767365
49, 50, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00051.png', 4.055466222975708
50, 51, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00052.png', 4.527866462674336
51, 52, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00053.png', 3.4783975786733565
52, 53, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00054.png', 4.222245662844545
53, 54, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00055.png', 4.564585117626172
54, 55, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00056.png', 4.03903854003441
55, 56, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00057.png', 4.653839765603474
56, 57, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00058.png', 4.181268967679301
57, 58, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00059.png', 3.9407524426732006
58, 59, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00060.png', 4.601425940375161
59, 60, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00061.png', 3.0276645065058427
60, 61, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00062.png', 3.6961878990757486
61, 62, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00063.png', 3.998655663240359
62, 63, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00064.png', 3.3768948024277043
63, 64, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00065.png', 4.203886069273239
64, 65, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00066.png', 4.430163131371743
65, 66, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00067.png', 3.8690615922192437
66, 67, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00068.png', 3.840868632534943
67, 68, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00069.png', 4.476792891715866
68, 69, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00070.png', 3.891854165581161
69, 70, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00071.png', 3.9946731903547317
70, 71, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00072.png', 4.35571474890318
71, 72, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00073.png', 5.250489804558439
72, 73, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00074.png', 4.237580375936696
73, 74, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00075.png', 5.368430773885034
74, 75, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00076.png', 4.069589023352296
75, 76, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00077.png', 4.118295688493348
76, 77, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00077.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00078.png', 4.866345781778377
77, 78, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00078.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00079.png', 4.79210803566283
78, 79, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00079.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00080.png', 5.24618346030947
79, 80, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00080.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00081.png', 4.553993187614529
80, 81, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00081.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00082.png', 3.8089211798786744
81, 82, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00082.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00083.png', 4.045133157213549
82, 83, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00083.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00084.png', 4.65821233274248
83, 84, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00084.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00085.png', 4.201065784010278
84, 85, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00085.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00086.png', 4.687505990708295
85, 86, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00086.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00087.png', 4.3088808604356785
86, 87, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00087.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00088.png', 3.4139715565772173
87, 88, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00088.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00089.png', 3.4202515691706936
88, 89, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00089.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00090.png', 3.890006599111767
89, 90, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00090.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00091.png', 5.498148506327797
90, 91, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00091.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00092.png', 4.921137731399042
91, 92, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00092.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00093.png', 4.368831913343347
92, 93, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00093.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00094.png', 5.240559999095022
93, 94, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00094.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00095.png', 5.178031337312477
94, 95, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00095.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00096.png', 4.645250430025407
95, 96, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00096.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00097.png', 4.928131829005745
96, 97, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00097.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00098.png', 5.415313426162696
97, 98, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00098.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00099.png', 4.72621479473524
98, 99, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00099.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00100.png', 5.264746319602073
99, 100, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00100.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00101.png', 4.880678732183949
100, 101, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00101.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00102.png', 4.865735933273045
101, 102, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00102.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00103.png', 4.786130591489169
102, 103, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00103.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00104.png', 5.958712958272139
103, 104, './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00104.png', './GTEA61/flow_y_processed/S2/pour_honey,bread/1/flow_y_00105.png', 4.945969999459982
