0, 1, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00002.png', 5.222924919192691
25, 26, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00026.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00027.png', 5.28964577370272
26, 27, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00028.png', 4.157161866632826
27, 28, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00029.png', 3.353557479046596
28, 29, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00030.png', 3.865438182486109
29, 30, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00031.png', 3.9449325656982235
30, 31, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00032.png', 3.7640583081952115
31, 32, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00033.png', 4.247290040475972
32, 33, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00034.png', 3.6334863451921278
33, 34, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00035.png', 4.47444848887771
34, 35, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00036.png', 3.546522065373787
35, 36, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00037.png', 4.396420463336167
36, 37, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00038.png', 4.226002980676038
37, 38, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00039.png', 4.87908847519581
38, 39, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00040.png', 4.469203933759375
39, 40, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00041.png', 4.802564063400565
40, 41, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00042.png', 5.361342435954128
41, 42, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00043.png', 4.060914851164935
42, 43, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00044.png', 3.9346006082041205
43, 44, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00045.png', 4.259568036262621
44, 45, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00046.png', 4.017189593571076
45, 46, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00047.png', 3.454784969496636
46, 47, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00048.png', 3.866552623856385
47, 48, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00049.png', 4.0539368659602735
48, 49, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00050.png', 3.6507684919440524
49, 50, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00051.png', 3.583214992359649
50, 51, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00052.png', 3.6446889637720528
51, 52, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00053.png', 3.4821482703343594
52, 53, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00053.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00054.png', 3.8495473043035675
53, 54, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00054.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00055.png', 3.312356504725999
54, 55, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00055.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00056.png', 3.9308930428990427
55, 56, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00056.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00057.png', 3.4876206497780604
56, 57, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00057.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00058.png', 3.6760319374471906
57, 58, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00058.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00059.png', 3.882910277883059
58, 59, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00059.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00060.png', 4.15641723830828
59, 60, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00060.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00061.png', 4.555296470122112
60, 61, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00061.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00062.png', 4.7164780792927115
61, 62, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00062.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00063.png', 3.666835655949501
62, 63, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00063.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00064.png', 4.673948195260621
63, 64, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00064.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00065.png', 4.442120580891566
64, 65, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00065.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00066.png', 4.163976681562568
65, 66, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00066.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00067.png', 4.871111869148917
66, 67, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00067.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00068.png', 4.891058443933269
67, 68, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00068.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00069.png', 4.285739675021174
68, 69, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00069.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00070.png', 4.066368143014762
69, 70, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00070.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00071.png', 3.3138639347738987
70, 71, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00071.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00072.png', 3.5479829552998616
71, 72, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00072.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00073.png', 3.970637123385282
72, 73, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00073.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00074.png', 3.9884537093177514
73, 74, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00074.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00075.png', 4.01812356079929
74, 75, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00075.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00076.png', 3.199746812002436
75, 76, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00076.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00077.png', 3.254407389306947
76, 77, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00077.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00078.png', 3.924337405694668
77, 78, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00078.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00079.png', 3.9050560033698005
78, 79, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00079.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00080.png', 4.007822773680389
79, 80, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00080.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00081.png', 4.039478170826856
80, 81, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00081.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00082.png', 3.8536166255467816
81, 82, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00082.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00083.png', 3.5951611072983094
82, 83, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00083.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00084.png', 3.1830641205335874
83, 84, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00084.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00085.png', 3.431651902191773
84, 85, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00085.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00086.png', 4.036980975568173
85, 86, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00086.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00087.png', 3.696996655470509
86, 87, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00087.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00088.png', 3.717363452462088
87, 88, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00088.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00089.png', 4.338872602937441
88, 89, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00089.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00090.png', 3.867402824416518
89, 90, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00090.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00091.png', 4.161816066468956
90, 91, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00091.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00092.png', 4.197416639796263
91, 92, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00092.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00093.png', 3.984367142002461
92, 93, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00093.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00094.png', 4.930532609654464
93, 94, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00094.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00095.png', 4.797494574931898
94, 95, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00095.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00096.png', 4.62729430547291
95, 96, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00096.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00097.png', 4.216748453660546
96, 97, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00097.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00098.png', 5.291637380826855
97, 98, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00098.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00099.png', 5.246198398017495
98, 99, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00099.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00100.png', 5.191009378068753
99, 100, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00100.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00101.png', 5.425898414577725
100, 101, './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00101.png', './GTEA61/flow_y_processed/S4/pour_water,cup/3/flow_y_00102.png', 5.351908591875931
