0, 1, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 6.2861307343115636
22, 23, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', 4.674150819349618
23, 24, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', 4.538399290993898
24, 25, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', 4.631500552300575
25, 26, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', 4.229385983443025
26, 27, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', 4.537446127341994
27, 28, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', 5.103597251443087
28, 29, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', 4.464968143878683
29, 30, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', 4.560848617097814
30, 31, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', 4.306581733519755
31, 32, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', 4.533393514723328
32, 33, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', 4.798727042169263
33, 34, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', 4.305822014740763
34, 35, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', 4.3332496301565255
35, 36, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', 4.444241203697704
36, 37, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', 4.376528792891274
37, 38, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', 4.189412424845246
38, 39, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', 4.5733623923407185
39, 40, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', 4.774983807809057
40, 41, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', 4.428515952115588
41, 42, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', 4.981058091692226
42, 43, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', 4.637634330227359
43, 44, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', 4.419158054407234
44, 45, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', 4.276296254107147
45, 46, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', 4.49749351163941
46, 47, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', 4.585610077160642
47, 48, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', 4.4962751568202775
48, 49, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', 4.67281995698755
49, 50, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0051.png', 4.091112704703457
50, 51, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0052.png', 4.827931029996131
51, 52, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0053.png', 4.384037117281323
52, 53, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0054.png', 4.37357588993835
53, 54, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0055.png', 4.13131568165438
54, 55, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0056.png', 4.287343099108726
55, 56, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0057.png', 4.107289310649813
56, 57, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0058.png', 4.443863975966508
57, 58, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0059.png', 4.92769980802475
58, 59, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0060.png', 4.418204386007566
59, 60, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0061.png', 4.372415017500512
60, 61, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0062.png', 4.264416181283207
61, 62, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0063.png', 4.528120006640712
62, 63, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0064.png', 4.850622911685421
63, 64, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0065.png', 4.213607418267185
64, 65, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0066.png', 4.777702883722652
65, 66, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0067.png', 5.3741564561343464
66, 67, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0068.png', 4.985539400244114
67, 68, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0069.png', 5.046264579794087
68, 69, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0070.png', 5.373196103189215
69, 70, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0071.png', 4.9373572364467195
70, 71, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0072.png', 4.406273635540798
71, 72, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0073.png', 4.411375810505796
72, 73, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0074.png', 4.546155222518773
73, 74, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0075.png', 4.935634816956178
74, 75, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0076.png', 5.049471579027239
75, 76, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0077.png', 4.935809248252313
76, 77, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0078.png', 4.37122002097329
77, 78, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0079.png', 4.474532063022852
78, 79, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0080.png', 4.869499917081681
79, 80, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0081.png', 4.9188778712511585
80, 81, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0082.png', 4.638599368990229
81, 82, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0083.png', 5.042023694041875
82, 83, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0084.png', 4.837367441090548
83, 84, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0085.png', 4.685404536819202
84, 85, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0086.png', 5.474939518979327
85, 86, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0087.png', 5.788796219889464
86, 87, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0088.png', 5.722346996461245
87, 88, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0089.png', 5.472255331653605
88, 89, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0090.png', 5.925752698937591
89, 90, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0090.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0091.png', 5.32230642878815
90, 91, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0091.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0092.png', 5.955647360987473
91, 92, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0092.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0093.png', 5.590749936722753
92, 93, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0093.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0094.png', 5.876246431724651
93, 94, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0094.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0095.png', 5.910387799685825
94, 95, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0095.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0096.png', 5.2840243810123395
95, 96, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0096.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0097.png', 5.558965361561588
96, 97, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0097.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0098.png', 5.11966270469211
97, 98, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0098.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0099.png', 5.333379051011029
98, 99, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0099.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0100.png', 4.936422801943764
99, 100, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0100.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0101.png', 4.871119234302244
100, 101, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0101.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0102.png', 4.381379361676947
101, 102, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0102.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0103.png', 4.53708739281569
102, 103, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0103.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0104.png', 4.6627585424745925
103, 104, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0104.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0105.png', 4.7206153401141
104, 105, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0105.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0106.png', 5.043539625764625
105, 106, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0106.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0107.png', 4.54149559517678
106, 107, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0107.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0108.png', 5.006124361412776
107, 108, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0108.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0109.png', 4.857409848952889
108, 109, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0109.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0110.png', 4.864725856596504
109, 110, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0110.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0111.png', 5.078220052372304
110, 111, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0111.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0112.png', 5.317299155790321
111, 112, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0112.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0113.png', 5.3292272180303435
112, 113, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0113.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0114.png', 5.414908053167719
113, 114, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0114.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0115.png', 5.603126258660992
114, 115, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0115.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0116.png', 5.428466873079273
115, 116, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0116.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0117.png', 4.65345650845148
116, 117, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0117.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0118.png', 4.837890268532719
117, 118, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0118.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0119.png', 4.43796406928985
118, 119, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0119.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0120.png', 4.138730667566697
119, 120, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0120.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0121.png', 4.270946045497378
120, 121, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0121.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0122.png', 4.2352117410654575
121, 122, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0122.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0123.png', 5.44607353813963
122, 123, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0123.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0124.png', 5.655845217439115
123, 124, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0124.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0125.png', 5.193158301599337
124, 125, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0125.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0126.png', 4.734661546190277
125, 126, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0126.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0127.png', 4.950374132002015
126, 127, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0127.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0128.png', 5.029702409988779
127, 128, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0128.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0129.png', 5.337390097527254
128, 129, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0129.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0130.png', 5.710150533148227
129, 130, './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0130.png', './GTEA61/processed_frames2/S3/pour_mustard,hotdog,bread/1/rgb/rgb0131.png', 4.772004566867361
