0, 1, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0002.png', 5.459324925540231
18, 19, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0020.png', 4.929131869150371
19, 20, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0021.png', 4.948665772137276
20, 21, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0022.png', 5.0004490223661
21, 22, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0023.png', 4.949481104699458
22, 23, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0024.png', 4.990166585091458
23, 24, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0025.png', 5.124897933530772
24, 25, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0026.png', 5.151446494818311
25, 26, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0027.png', 4.907910285422978
26, 27, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0028.png', 4.773897156805085
27, 28, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0029.png', 5.015160742740206
28, 29, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0030.png', 4.950497881511769
29, 30, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0031.png', 5.096176515977634
30, 31, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0032.png', 5.17622784222623
31, 32, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0033.png', 4.989847386167152
32, 33, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0034.png', 5.07081946236859
33, 34, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0035.png', 4.932773460196313
34, 35, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0036.png', 4.877452844024904
35, 36, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0037.png', 4.631665930739308
36, 37, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0038.png', 4.63329630837854
37, 38, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0039.png', 4.821597922868283
38, 39, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0040.png', 4.833477639312205
39, 40, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0041.png', 4.736688802153019
40, 41, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0042.png', 5.196772631128276
41, 42, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0043.png', 5.231838967765946
42, 43, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0044.png', 5.212648439162663
43, 44, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0045.png', 5.177822697724239
44, 45, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0046.png', 5.1353145444194315
45, 46, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0047.png', 5.022121172955271
46, 47, './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/pour_mustard,cheese,bread/1/rgb/rgb0048.png', 5.25913909221067
