0, 1, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0002.png', 0.4096551431150908
19, 20, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0021.png', 0.38156730801387134
20, 21, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0022.png', 0.3446587886661709
21, 22, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0023.png', 0.27661579443694584
22, 23, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0024.png', 0.2825552843047665
23, 24, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0025.png', 0.3024447405609757
24, 25, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0026.png', 0.2858131637985252
25, 26, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0027.png', 0.2542409840698038
26, 27, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0028.png', 0.3214931344530847
27, 28, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0029.png', 0.22232565063497486
28, 29, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0030.png', 0.21534131862344602
29, 30, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0031.png', 0.2506843257620914
30, 31, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0032.png', 0.25304502768789267
31, 32, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0033.png', 0.257009054350251
32, 33, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0034.png', 0.26045043023581455
33, 34, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0035.png', 0.22545957059658192
34, 35, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0036.png', 0.25304502768789267
35, 36, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0037.png', 0.24714424368595814
36, 37, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0038.png', 0.2330362867823851
37, 38, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0039.png', 0.19617976180385205
38, 39, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0040.png', 0.16952229067971003
39, 40, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0041.png', 0.1573161439791995
40, 41, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0042.png', 0.17241225439314792
41, 42, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0043.png', 0.1978074779731601
42, 43, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0044.png', 0.17982793356164592
43, 44, './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/put_bread,cheese,bread/1/mmaps/map0045.png', 0.14059132371871635
