0, 1, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0002.png', 0.36756825838765467
33, 34, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0036.png', -0.0
35, 36, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0037.png', -0.0
36, 37, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0038.png', -0.0
37, 38, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0039.png', -0.0
38, 39, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0040.png', -0.0
39, 40, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0041.png', -0.0
40, 41, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0042.png', -0.0
41, 42, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0043.png', 0.009013185442534974
42, 43, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0044.png', 0.03521930591942721
43, 44, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0045.png', 0.04838263870281197
44, 45, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0046.png', 0.06192385626205852
45, 46, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0047.png', 0.0746515086592891
46, 47, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0048.png', 0.05699990439099145
47, 48, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0049.png', 0.09958620798002604
48, 49, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0050.png', 0.370850984540741
49, 50, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0051.png', 0.3125848761886594
50, 51, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0052.png', 0.32362294468235786
51, 52, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0053.png', 0.3121657333378207
52, 53, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0054.png', 0.31129159127609796
53, 54, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0055.png', 0.2694532209381228
54, 55, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0056.png', 0.3088021556334559
55, 56, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0057.png', 0.297811306361484
56, 57, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0058.png', 0.327962715933802
57, 58, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0059.png', 0.3130386224097837
58, 59, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0060.png', 0.2864334251546232
59, 60, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0061.png', 0.32465085276606975
60, 61, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0062.png', 0.290286415767967
61, 62, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0063.png', 0.34667740750674303
62, 63, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0064.png', 0.32300537341182
63, 64, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0065.png', 0.32121778105893894
64, 65, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0066.png', 0.3392992863657689
65, 66, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0066.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0067.png', 0.3487553692600207
66, 67, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0067.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0068.png', 0.3308503023211696
67, 68, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0068.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0069.png', 0.30347351476649037
68, 69, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0069.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0070.png', 0.3128641446188837
69, 70, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0070.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0071.png', 0.34076859084819316
70, 71, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0071.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0072.png', 0.3004531663905293
71, 72, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0072.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0073.png', 0.2980259438712903
72, 73, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0073.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0074.png', 0.32358865145080684
73, 74, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0074.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0075.png', 0.298168992989832
74, 75, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0075.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0076.png', 0.2891258733119809
75, 76, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0076.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0077.png', 0.30760640937925443
76, 77, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0077.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0078.png', 0.37151818169783435
77, 78, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0078.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0079.png', 0.35699874995671965
78, 79, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0079.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0080.png', 0.35543693789638575
79, 80, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0080.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0081.png', 0.37034216876079784
80, 81, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0081.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0082.png', 0.33577886713331284
81, 82, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0082.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0083.png', 0.3184920034771403
82, 83, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0083.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0084.png', 0.3303756285299216
83, 84, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0084.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0085.png', 0.2808643812959022
84, 85, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0085.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0086.png', 0.3203909782507834
85, 86, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0086.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0087.png', 0.343198661718216
86, 87, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0087.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0088.png', 0.34901874267720756
87, 88, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0088.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0089.png', 0.3815048001969842
88, 89, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0089.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0090.png', 0.3711687856643762
89, 90, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0090.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0091.png', 0.3698966172592817
90, 91, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0091.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0092.png', 0.37623191528886646
91, 92, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0092.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0093.png', 0.393363654186513
92, 93, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0093.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0094.png', 0.3755065894022101
93, 94, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0094.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0095.png', 0.37199431857048915
94, 95, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0095.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0096.png', 0.36204791693257016
95, 96, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0096.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0097.png', 0.35582775638915565
96, 97, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0097.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0098.png', 0.3419681692686285
97, 98, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0098.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0099.png', 0.3441282297278067
98, 99, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0099.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0100.png', 0.3582648601792122
99, 100, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0100.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0101.png', 0.34723880998810286
100, 101, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0101.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0102.png', 0.3007380799446195
101, 102, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0102.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0103.png', 0.3238286638857583
102, 103, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0103.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0104.png', 0.2727842821886226
103, 104, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0104.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0105.png', 0.27345567646697116
104, 105, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0105.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0106.png', 0.24640229714126397
105, 106, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0106.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0107.png', 0.26117431505005
106, 107, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0107.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0108.png', 0.21364310315713095
107, 108, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0108.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0109.png', 0.29763238321232455
108, 109, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0109.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0110.png', 0.44689445827193836
109, 110, './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0110.png', './GTEA61/processed_frames2/S4/pour_honey,bread/1/mmaps/map0111.png', 0.44520095273975563
