0, 1, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0002.png', 6.009860104809574
23, 24, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', 5.50177520412206
24, 25, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', 5.515155097250088
25, 26, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0027.png', 5.454892873974329
26, 27, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0028.png', 5.5102582819842745
27, 28, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0029.png', 5.419130399686938
28, 29, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0030.png', 5.105385887827446
29, 30, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0031.png', 4.893417074785523
30, 31, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0032.png', 4.680194417652344
31, 32, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0033.png', 4.605996826910492
32, 33, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0034.png', 5.241235276516227
33, 34, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0035.png', 5.261011203364601
34, 35, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0036.png', 5.332759451460383
35, 36, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0037.png', 5.668303451996062
36, 37, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0038.png', 5.686337959421864
37, 38, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0039.png', 5.603193791081844
38, 39, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0040.png', 5.502693824162931
39, 40, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0041.png', 5.163898026691445
40, 41, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0042.png', 5.098037983096014
41, 42, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0043.png', 5.475842525649884
42, 43, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0044.png', 5.399274414424019
43, 44, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0045.png', 5.407810125978972
44, 45, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0046.png', 5.394910998060714
45, 46, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0047.png', 5.462813577136688
46, 47, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0048.png', 5.785901620992282
47, 48, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0049.png', 5.54673839963167
48, 49, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0050.png', 5.342945879461653
49, 50, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0051.png', 5.628980710870311
50, 51, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0052.png', 5.798099755499889
51, 52, './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/pour_ketchup,hotdog,bread/1/rgb/rgb0053.png', 5.748321289465273
