0, 1, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00002.png', 4.797257906292363
15, 16, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00017.png', 3.635152666501701
16, 17, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00018.png', 3.900894455738818
17, 18, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00019.png', 3.789602409526757
18, 19, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00020.png', 3.7435831963027124
19, 20, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00021.png', 4.101783452565611
20, 21, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00022.png', 4.128934909975058
21, 22, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00023.png', 4.888420947445315
22, 23, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00024.png', 5.00312680728202
23, 24, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00025.png', 4.9467178366816
24, 25, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00026.png', 4.851227037857611
25, 26, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00027.png', 4.9449771007814824
26, 27, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00028.png', 4.618794836149429
27, 28, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00029.png', 4.018236325738524
28, 29, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00030.png', 4.581883981246772
29, 30, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00031.png', 4.428179332293495
30, 31, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00032.png', 4.499618578896868
31, 32, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00033.png', 4.104738748390213
32, 33, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00034.png', 4.086142128099182
33, 34, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00035.png', 4.261399217552361
34, 35, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00036.png', 4.532993220991614
35, 36, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00037.png', 5.457389212202599
36, 37, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00038.png', 5.074448165294782
37, 38, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00039.png', 5.541169948991974
38, 39, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00040.png', 5.853933138171207
39, 40, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00041.png', 5.128402552682291
40, 41, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00042.png', 4.603890101535744
41, 42, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00043.png', 4.8394753850995995
42, 43, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00044.png', 5.563186331523562
43, 44, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00045.png', 4.745642116093712
44, 45, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00046.png', 4.305112195516756
45, 46, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00047.png', 4.022915566338464
46, 47, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00048.png', 3.81925129539096
47, 48, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00049.png', 4.405849545297585
48, 49, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00050.png', 3.9209542006548794
49, 50, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00051.png', 4.949080371061106
50, 51, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00051.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00052.png', 4.528181908036047
51, 52, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00052.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00053.png', 4.27233120353936
52, 53, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00053.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00054.png', 5.227640496587646
53, 54, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00054.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00055.png', 5.3550431696704015
54, 55, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00055.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00056.png', 4.493356322282217
55, 56, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00056.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00057.png', 3.9923990233623363
56, 57, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00057.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00058.png', 4.224039196899678
57, 58, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00058.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00059.png', 4.570129184222861
58, 59, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00059.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00060.png', 4.8014237823838934
59, 60, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00060.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00061.png', 5.138292782810775
60, 61, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00061.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00062.png', 5.615233506603119
61, 62, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00062.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00063.png', 5.086865946481337
62, 63, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00063.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00064.png', 4.297193939238716
63, 64, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00064.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00065.png', 3.774099010396539
64, 65, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00065.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00066.png', 4.249666798080157
65, 66, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00066.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00067.png', 4.393738401186503
66, 67, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00067.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00068.png', 5.088457981927025
67, 68, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00068.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00069.png', 5.276264228330569
68, 69, './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00069.png', './GTEA61/flow_x_processed/S4/scoop_jam,spoon/1/flow_x_00070.png', 5.612200519946648
