0, 1, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00002.png', 5.913299311888027
13, 14, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00014.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00015.png', 4.84147752572469
14, 15, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00016.png', 4.043021156027033
15, 16, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00017.png', 3.8532161395264968
16, 17, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00018.png', 4.106204140396004
17, 18, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00019.png', 3.9074216096375425
18, 19, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00020.png', 3.772480980468159
19, 20, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00021.png', 3.847400304415241
20, 21, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00022.png', 3.8837040922244976
21, 22, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00023.png', 4.344653262813063
22, 23, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00024.png', 3.7655484070523064
23, 24, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00025.png', 3.9551711604958038
24, 25, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00026.png', 3.816757960823529
25, 26, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00027.png', 3.9694950726032925
26, 27, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00028.png', 4.244000772476323
27, 28, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00029.png', 3.8327204212232378
28, 29, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00030.png', 3.9687567290170254
29, 30, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00031.png', 4.663203043950991
30, 31, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00032.png', 4.470614317815002
31, 32, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00033.png', 4.810995158171579
32, 33, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00034.png', 3.9574475796229067
33, 34, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00035.png', 3.5498899992141695
34, 35, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00036.png', 4.669500027939154
35, 36, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00037.png', 3.8242528134233127
36, 37, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00038.png', 4.344123461971694
37, 38, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00039.png', 4.890245264337175
38, 39, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00040.png', 3.8803462330166636
39, 40, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00041.png', 3.4775216600638506
40, 41, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00042.png', 3.1756974668420983
41, 42, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00043.png', 4.125118486977906
42, 43, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00044.png', 4.266275204023345
43, 44, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00045.png', 4.030873754285231
44, 45, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00046.png', 4.001757681051408
45, 46, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00047.png', 4.045422201053705
46, 47, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00047.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00048.png', 4.370897550125689
47, 48, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00048.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00049.png', 4.802190982659876
48, 49, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00049.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00050.png', 4.78497379970681
49, 50, './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/scoop_jam,spoon/1/flow_x_00051.png', 5.377791970709742
