0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0002.png', 0.15498512261138092
20, 21, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0022.png', 0.06228922260027096
21, 22, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0023.png', 0.05139854830122566
22, 23, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0024.png', 0.17675932569045374
23, 24, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0025.png', 0.223059882551719
24, 25, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0026.png', 0.28369208536831886
25, 26, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0027.png', 0.23447528655007593
26, 27, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0028.png', 0.21048071937610469
27, 28, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0029.png', 0.2019391515481981
28, 29, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0030.png', 0.23738180485244287
29, 30, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0030.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0031.png', 0.2997046267540257
30, 31, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0031.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0032.png', 0.31206090253700547
31, 32, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0032.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0033.png', 0.32830313458275207
32, 33, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0033.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0034.png', 0.35651110211817527
33, 34, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0034.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0035.png', 0.3526943504775669
34, 35, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0035.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0036.png', 0.37689344137295533
35, 36, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0036.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0037.png', 0.3549154666008679
36, 37, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0037.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0038.png', 0.3470407256727978
37, 38, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0038.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0039.png', 0.3932716239135848
38, 39, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0039.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0040.png', 0.3777115133328104
39, 40, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0040.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0041.png', 0.3619511999810057
40, 41, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0041.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0042.png', 0.3842181866738799
41, 42, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0042.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0043.png', 0.34226770244546456
42, 43, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0043.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0044.png', 0.30527850240000043
43, 44, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0044.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0045.png', 0.33152777536512007
44, 45, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0045.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0046.png', 0.28449752573345055
45, 46, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0046.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0047.png', 0.2702409181843448
46, 47, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0047.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0048.png', 0.27706056107940935
47, 48, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0048.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0049.png', 0.28803580813967644
48, 49, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0049.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0050.png', 0.29440261596997147
49, 50, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0050.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0051.png', 0.2806066451561306
50, 51, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0051.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0052.png', 0.29766817210307894
51, 52, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0052.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0053.png', 0.19904620621501387
52, 53, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0053.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0054.png', 0.08329837707371868
53, 54, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0054.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0055.png', 0.06235006551445842
54, 55, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0055.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0056.png', 0.043013784482007905
55, 56, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0056.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0057.png', 0.04074392246859816
56, 57, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0057.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0058.png', 0.02856666363285629
57, 58, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0058.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0059.png', 0.04915669755001399
58, 59, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0059.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0060.png', 0.041548165246944053
59, 60, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0060.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0061.png', 0.10252745273764938
60, 61, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0061.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0062.png', 0.07173066925970395
61, 62, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0062.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0063.png', 0.14967203177984467
62, 63, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0063.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0064.png', 0.14102579407382915
63, 64, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0064.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0065.png', 0.1308189717531067
64, 65, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0065.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0066.png', 0.1481558236095471
65, 66, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0066.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0067.png', 0.17353640409838667
66, 67, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0067.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0068.png', 0.16203478372917768
67, 68, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0068.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0069.png', 0.22756579205730587
68, 69, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0069.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/mmaps/map0070.png', 0.2855940932511268
