0, 1, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0002.png', 0.24601140613917133
13, 14, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0015.png', 0.12171880703570458
14, 15, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0016.png', 0.0915986295682901
15, 16, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0017.png', 0.06836300987584379
16, 17, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0018.png', 0.04954267283807415
17, 18, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0019.png', 0.046500098827367393
18, 19, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0020.png', 0.01721717191832979
19, 20, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0021.png', 0.026231523591515288
20, 21, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0022.png', 0.01761472349509604
21, 22, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0023.png', 0.014302839143652487
22, 23, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0024.png', 0.015122090012969778
23, 24, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0025.png', 0.007936099582708458
24, 25, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0026.png', 0.022117711539826848
25, 26, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0027.png', 0.01832627266622023
26, 27, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0028.png', 0.02081714921046888
27, 28, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0029.png', 0.021354477744931287
28, 29, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0030.png', -0.0
29, 30, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0031.png', -0.0
30, 31, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0032.png', -0.0
31, 32, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0033.png', -0.0
32, 33, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0034.png', -0.0
33, 34, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0035.png', -0.0
34, 35, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0036.png', -0.0
35, 36, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0037.png', 0.01721717191832979
36, 37, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0038.png', 0.01721717191832979
37, 38, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0039.png', 0.029935044335763633
38, 39, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0040.png', 0.026378648289766483
39, 40, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0041.png', 0.009013185442534974
40, 41, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0042.png', 0.00874590784647976
41, 42, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0043.png', 0.023177938696881003
42, 43, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0044.png', 0.026231523591515288
43, 44, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0045.png', 0.02593678453079047
44, 45, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0046.png', 0.02272471348090405
45, 46, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0047.png', 0.01761472349509604
46, 47, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0048.png', 0.022041614921263903
47, 48, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0049.png', 0.00702091526465066
48, 49, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0050.png', 0.016657802964878055
49, 50, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0051.png', 0.0089242343066975
50, 51, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0052.png', 0.011023431757804472
51, 52, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0053.png', 0.011023431757804472
52, 53, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0054.png', 0.009367612527378423
53, 54, './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/scoop_jam,spoon/1/mmaps/map0055.png', 0.006928421875195574
