0, 1, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0002.png', 0.2505679720187983
30, 31, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0032.png', 0.28284886140518384
31, 32, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0033.png', 0.22659470277392843
32, 33, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0034.png', 0.25624148996235463
33, 34, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0035.png', 0.28123238073351
34, 35, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0036.png', 0.28636048683868026
35, 36, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0037.png', 0.3163789533279397
36, 37, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0038.png', 0.28207791054514414
37, 38, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0039.png', 0.3103110590382532
38, 39, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0040.png', 0.2937185466339357
39, 40, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0041.png', 0.3012007774861253
40, 41, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0042.png', 0.29956194225326493
41, 42, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0043.png', 0.27905785929236665
42, 43, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0044.png', 0.2618972909883519
43, 44, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0045.png', 0.2985264669972634
44, 45, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0046.png', 0.27913170333330006
45, 46, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0047.png', 0.28566712574961645
46, 47, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0048.png', 0.2982762575024077
47, 48, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0049.png', 0.27828193742445606
48, 49, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0050.png', 0.28537494182429746
49, 50, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0051.png', 0.2567788931352094
50, 51, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0052.png', 0.2484695068366889
51, 52, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0053.png', 0.29991859014354094
52, 53, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0054.png', 0.22994573279608768
53, 54, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0055.png', 0.27039083509980133
54, 55, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0056.png', 0.24090490381504748
55, 56, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0057.png', 0.2333963890157214
56, 57, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0058.png', 0.23916593411491943
57, 58, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0059.png', 0.2770976097771219
58, 59, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0060.png', 0.2333163866362934
59, 60, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0061.png', 0.25915277885619126
60, 61, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0062.png', 0.3291533596846535
61, 62, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0062.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0063.png', 0.3326439841627612
62, 63, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0063.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0064.png', 0.2651206126629302
63, 64, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0064.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0065.png', 0.24612870193499514
64, 65, './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0065.png', './GTEA61/processed_frames2/S3/pour_honey,bread/1/mmaps/map0066.png', 0.2315935169797665
