0, 1, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00002.png', 7.589443951097923
18, 19, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00020.png', 4.417361771911212
19, 20, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00021.png', 3.956485473619087
20, 21, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00022.png', 4.359066600964588
21, 22, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00023.png', 4.388227422083192
22, 23, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00024.png', 4.550906754607519
23, 24, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00025.png', 5.430085793662224
24, 25, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00026.png', 4.970283552269578
25, 26, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00027.png', 5.004431418894278
26, 27, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00028.png', 4.976573456678381
27, 28, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00029.png', 5.079042543702009
28, 29, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00030.png', 5.3379026477187965
29, 30, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00031.png', 4.651256102208019
30, 31, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00032.png', 4.673820772588133
31, 32, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00033.png', 4.6354793175285485
32, 33, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00034.png', 5.827497997943894
33, 34, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00035.png', 5.397301547232114
34, 35, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00036.png', 5.777578616884654
35, 36, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00037.png', 6.232231970825023
36, 37, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00038.png', 5.00553402430224
37, 38, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00039.png', 5.758239280603843
38, 39, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00040.png', 5.981168172799621
39, 40, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00041.png', 5.4199169261157785
40, 41, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00042.png', 6.04402863241512
41, 42, './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_mustard,cheese,bread/1/flow_y_00043.png', 5.797962535954341
