0, 1, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00002.png', 6.031454319299747
36, 37, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00038.png', 4.637331372937264
37, 38, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00039.png', 4.942295160504207
38, 39, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00040.png', 5.0235798253360135
39, 40, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00041.png', 4.67388407205468
40, 41, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00042.png', 4.071006087459272
41, 42, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00043.png', 5.2430436164760525
42, 43, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00044.png', 4.460934760487712
43, 44, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00045.png', 5.37291291170183
44, 45, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00046.png', 5.231850212355514
45, 46, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00047.png', 4.1002184413719975
46, 47, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00048.png', 5.838089347531243
47, 48, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00049.png', 5.938101105727395
48, 49, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00050.png', 4.348915558867181
49, 50, './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_mustard,hotdog,bread/1/flow_y_00051.png', 4.137634382258822
