0, 1, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00002.png', 6.324703750631979
20, 21, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00022.png', 5.311485849560556
21, 22, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00023.png', 4.858232924491764
22, 23, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00024.png', 5.18006170348969
23, 24, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00025.png', 5.774662439165698
24, 25, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00026.png', 5.426100562967838
25, 26, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00027.png', 5.177120595553578
26, 27, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00028.png', 5.038409463684082
27, 28, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00029.png', 4.515798688637582
28, 29, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00030.png', 5.6249622120181915
29, 30, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00031.png', 5.419335555483381
30, 31, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00032.png', 4.416144951687933
31, 32, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00033.png', 5.011866861199364
32, 33, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00034.png', 5.092604339347234
33, 34, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00035.png', 4.167780122514909
34, 35, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00036.png', 5.053139905350302
35, 36, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00037.png', 5.005110574298502
36, 37, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00038.png', 5.281997938779361
37, 38, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00039.png', 5.034443417185026
38, 39, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00040.png', 4.951201081333943
39, 40, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00041.png', 4.5638828282419865
40, 41, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00042.png', 4.54054291307983
41, 42, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00043.png', 4.5881402563319
42, 43, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00044.png', 4.965966070815558
43, 44, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00045.png', 4.785325404401467
44, 45, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00046.png', 5.141439015689271
45, 46, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00047.png', 4.59534172951376
46, 47, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00048.png', 4.481203808246432
47, 48, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00049.png', 5.059535680408217
48, 49, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00050.png', 4.838181127970974
49, 50, './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/pour_mustard,hotdog,bread/1/flow_x_00051.png', 4.85787656261889
