0, 1, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00002.png', 5.123670329876189
15, 16, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00017.png', 5.041043329791962
16, 17, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00018.png', 5.093046853279099
17, 18, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00019.png', 4.95569558911732
18, 19, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00020.png', 5.216733981105811
19, 20, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00021.png', 4.917108452428151
20, 21, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00022.png', 4.946618164546526
21, 22, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00023.png', 4.064430486672079
22, 23, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00024.png', 4.150213408091192
23, 24, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00025.png', 4.46642390845398
24, 25, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00026.png', 4.394957782735678
25, 26, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00027.png', 4.392619790624659
26, 27, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00028.png', 4.192384682803599
27, 28, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00029.png', 3.7426422587737926
28, 29, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00030.png', 4.042220528358474
29, 30, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00031.png', 3.7702467216697135
30, 31, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00032.png', 3.5789984075339865
31, 32, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00033.png', 3.8247298747933094
32, 33, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00034.png', 3.7085012826287223
33, 34, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00035.png', 3.6606481100051065
34, 35, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00036.png', 3.743907555312333
35, 36, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00037.png', 3.495923509636632
36, 37, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00038.png', 3.4767973172690185
37, 38, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00039.png', 4.545984861127702
38, 39, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00040.png', 4.084739719305859
39, 40, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00041.png', 4.770706438049915
40, 41, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00042.png', 4.617738194146936
41, 42, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00043.png', 4.511270763041588
42, 43, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00044.png', 4.917050611693398
43, 44, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00045.png', 5.107413175266371
44, 45, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00046.png', 5.680343879184922
45, 46, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00047.png', 6.49344181281485
46, 47, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00048.png', 6.70635899882375
47, 48, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00049.png', 5.88046629982502
48, 49, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00050.png', 5.543761616179863
49, 50, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00051.png', 5.818554682512838
50, 51, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00052.png', 6.868371231894205
51, 52, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00053.png', 7.00503866190119
52, 53, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00054.png', 6.099589946060755
53, 54, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00055.png', 6.089782710319709
54, 55, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00056.png', 5.4678060091033664
55, 56, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00057.png', 5.210709854240197
56, 57, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00058.png', 6.29686531125005
57, 58, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00059.png', 7.0427683237301615
58, 59, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00060.png', 5.768541294598763
59, 60, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00061.png', 5.320667259639833
60, 61, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00062.png', 4.2327487623161195
61, 62, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00063.png', 4.785794172550582
62, 63, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00064.png', 4.896195647398199
63, 64, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00064.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00065.png', 3.5592050840053697
64, 65, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00065.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00066.png', 4.413578361371047
65, 66, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00066.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00067.png', 3.9768564450292
66, 67, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00067.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00068.png', 4.031095124859409
67, 68, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00068.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00069.png', 4.035990401848502
68, 69, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00069.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00070.png', 3.995715870255823
69, 70, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00070.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00071.png', 3.8625757402017507
70, 71, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00071.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00072.png', 4.093855904197165
71, 72, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00072.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00073.png', 3.8133317511633185
72, 73, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00073.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00074.png', 3.5009782765243314
73, 74, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00074.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00075.png', 3.2539001856789307
74, 75, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00075.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00076.png', 2.8864892951265384
75, 76, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00076.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00077.png', 3.456803494959969
76, 77, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00077.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00078.png', 4.3840982051376
77, 78, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00078.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00079.png', 4.439160492746694
78, 79, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00079.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00080.png', 5.130481857157775
79, 80, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00080.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00081.png', 4.759470640864698
80, 81, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00081.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00082.png', 4.081700265641379
81, 82, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00082.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00083.png', 3.940123577615166
82, 83, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00083.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00084.png', 4.721261249565139
83, 84, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00084.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00085.png', 3.688793479667632
84, 85, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00085.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00086.png', 4.456440378953293
85, 86, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00086.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00087.png', 4.641192863000857
86, 87, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00087.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00088.png', 4.001413160902451
87, 88, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00088.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00089.png', 3.8174247981216416
88, 89, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00089.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00090.png', 3.9376512611916366
89, 90, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00090.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00091.png', 3.8019728729213007
90, 91, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00091.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00092.png', 4.628885906637788
91, 92, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00092.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00093.png', 3.919985688258749
92, 93, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00093.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00094.png', 3.662824247872593
93, 94, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00094.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00095.png', 4.110627822213403
94, 95, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00095.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00096.png', 4.450400316134324
95, 96, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00096.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00097.png', 4.2983311302754705
96, 97, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00097.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00098.png', 4.637853362527017
97, 98, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00098.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00099.png', 4.252977186217478
98, 99, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00099.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00100.png', 4.168576525458874
99, 100, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00100.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00101.png', 5.132705592258822
100, 101, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00101.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00102.png', 4.485776518578387
101, 102, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00102.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00103.png', 4.5654596055291075
102, 103, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00103.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00104.png', 5.025485743018525
103, 104, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00104.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00105.png', 4.097990010728866
104, 105, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00105.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00106.png', 4.252442428885193
105, 106, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00106.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00107.png', 3.9324953035029733
106, 107, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00107.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00108.png', 3.917371054672745
107, 108, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00108.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00109.png', 4.1099250292855976
108, 109, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00109.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00110.png', 3.857905011124592
109, 110, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00110.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00111.png', 3.657993903326079
110, 111, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00111.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00112.png', 3.7239890311773505
111, 112, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00112.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00113.png', 4.299967891633686
112, 113, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00113.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00114.png', 4.484540856797314
113, 114, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00114.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00115.png', 4.293090693579225
114, 115, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00115.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00116.png', 4.1635080525408625
115, 116, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00116.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00117.png', 4.406584281556386
116, 117, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00117.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00118.png', 3.9981823132539756
117, 118, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00118.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00119.png', 3.5726834337019002
118, 119, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00119.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00120.png', 3.7369477280761587
119, 120, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00120.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00121.png', 3.202721634652498
120, 121, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00121.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00122.png', 3.822561400330932
121, 122, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00122.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00123.png', 3.8691125657421415
122, 123, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00123.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00124.png', 3.844215022703781
123, 124, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00124.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00125.png', 4.733945510180648
124, 125, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00125.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00126.png', 4.460220440951331
125, 126, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00126.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00127.png', 4.2352132452284055
126, 127, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00127.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00128.png', 4.294997904739832
127, 128, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00128.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00129.png', 4.693105995817321
128, 129, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00129.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00130.png', 4.073447068841021
129, 130, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00130.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00131.png', 4.61511097532599
130, 131, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00131.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00132.png', 4.886177340936735
131, 132, './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00132.png', './GTEA61/flow_x_processed/S1/pour_mustard,hotdog,bread/1/flow_x_00133.png', 4.4560930293975165
