0, 1, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0002.png', 5.34761686361981
11, 12, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0012.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0013.png', 4.697774528302993
12, 13, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0013.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0014.png', 5.166103100044957
13, 14, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0015.png', 5.497825091726643
14, 15, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0016.png', 5.357224720166226
15, 16, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0017.png', 5.400640162871486
16, 17, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0018.png', 5.098048801619782
17, 18, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0019.png', 4.771758320414565
18, 19, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0020.png', 5.393113539398266
19, 20, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0021.png', 5.371972570003678
20, 21, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0022.png', 5.232401852721806
21, 22, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0023.png', 5.4202385614470545
22, 23, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0024.png', 5.198631586867043
23, 24, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0025.png', 5.0190061420693795
24, 25, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0026.png', 5.49410830274522
25, 26, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0027.png', 4.819569283242201
26, 27, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0028.png', 4.974157124302438
27, 28, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0029.png', 4.87751911541097
28, 29, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0030.png', 5.5416912428675325
29, 30, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0031.png', 5.34289834489055
30, 31, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0032.png', 5.4089909794077276
31, 32, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0033.png', 4.835424246433889
32, 33, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0034.png', 5.0610620101124155
33, 34, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0035.png', 5.884729381067546
34, 35, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0036.png', 5.584923105435744
35, 36, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0037.png', 5.534095379933858
36, 37, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0038.png', 5.118891561606555
37, 38, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0039.png', 5.037098114995759
38, 39, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0040.png', 5.788316499216995
39, 40, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0041.png', 5.225003074253498
40, 41, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0042.png', 5.492788922481634
41, 42, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0043.png', 5.361574257097203
42, 43, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0044.png', 4.692441943593049
43, 44, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0045.png', 4.819451917062713
44, 45, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0046.png', 4.860763232479041
45, 46, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0047.png', 5.355114076460439
46, 47, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0048.png', 4.685843971819987
47, 48, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0049.png', 4.628039839448374
48, 49, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0050.png', 5.270702684155438
49, 50, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0051.png', 5.188441013249756
50, 51, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0052.png', 4.871836568409741
51, 52, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0053.png', 5.138107070546603
52, 53, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0054.png', 5.3029073129701025
53, 54, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0055.png', 5.637119055016723
54, 55, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0056.png', 5.22915683322544
55, 56, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0057.png', 4.902669669613486
56, 57, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0058.png', 5.073048327988814
57, 58, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0059.png', 4.583655411835581
58, 59, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0060.png', 4.8901632213287165
59, 60, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0061.png', 5.119498794737112
60, 61, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0062.png', 5.731364447067692
61, 62, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0063.png', 5.3414879148412
62, 63, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0064.png', 5.258211075152364
63, 64, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0065.png', 5.1550977575057315
64, 65, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0066.png', 5.735656385037164
65, 66, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0067.png', 5.61181626031598
66, 67, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0068.png', 5.493097600770849
67, 68, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0069.png', 5.5394479624609545
68, 69, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0070.png', 4.941164917945251
69, 70, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0071.png', 5.431705270133936
70, 71, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0072.png', 5.006422368524136
71, 72, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0073.png', 4.6135029133250365
72, 73, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0074.png', 4.938345238265605
73, 74, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0075.png', 5.2203415804568065
74, 75, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0076.png', 5.311198627588869
75, 76, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0077.png', 5.595826205404201
76, 77, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0078.png', 5.588370204448833
77, 78, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0079.png', 5.227343172641953
78, 79, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0080.png', 5.41488305585691
79, 80, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0081.png', 5.691513580361659
80, 81, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0082.png', 5.481066132344603
81, 82, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0083.png', 5.058333590547033
82, 83, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0084.png', 5.375578297234691
83, 84, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0085.png', 5.519905575798087
84, 85, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0086.png', 5.873819173998906
85, 86, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0087.png', 5.046609988908826
86, 87, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0088.png', 4.768976002290261
87, 88, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0089.png', 4.662166566457456
88, 89, './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S3/spread_jam,spoon,bread/1/rgb/rgb0090.png', 5.270855832210339
