0, 1, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0002.png', 0.34096868148272647
19, 20, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0021.png', 0.36030472638198535
20, 21, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0022.png', 0.42498398344749927
21, 22, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0023.png', 0.3559579750069537
22, 23, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0024.png', 0.38381347820116374
23, 24, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0025.png', 0.37946991912041783
24, 25, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0026.png', 0.44069107629835963
25, 26, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0027.png', 0.39333297891611746
26, 27, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0028.png', 0.3917358119530877
27, 28, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0029.png', 0.4373804271167354
28, 29, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0030.png', 0.44114635985250983
29, 30, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0031.png', 0.4528141111260777
30, 31, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0032.png', 0.4284180020880879
31, 32, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0033.png', 0.4250423425506606
32, 33, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0034.png', 0.4414023127847545
33, 34, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0035.png', 0.4383240154577343
34, 35, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0036.png', 0.3725018013806384
35, 36, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0037.png', 0.362853312392888
36, 37, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0038.png', 0.4051247659864547
37, 38, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0039.png', 0.4444939825836827
38, 39, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0040.png', 0.4471199161231325
39, 40, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0041.png', 0.40162233885946585
40, 41, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0042.png', 0.4449465346555982
41, 42, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0043.png', 0.42801154844683453
42, 43, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0044.png', 0.3926577464390317
43, 44, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0045.png', 0.4031041754942061
44, 45, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0046.png', 0.3698966172592817
45, 46, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0047.png', 0.34545378021582485
46, 47, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0048.png', 0.38175479434001114
47, 48, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0049.png', 0.3259162440022326
48, 49, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0050.png', 0.29043132491317203
49, 50, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0050.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0051.png', 0.33000241430547894
50, 51, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0051.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0052.png', 0.32286805098016397
51, 52, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0052.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0053.png', 0.3628211164100118
52, 53, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0053.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0054.png', 0.32273069783160097
53, 54, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0054.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0055.png', 0.4168784207464381
54, 55, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0055.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0056.png', 0.3972168903420815
55, 56, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0056.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0057.png', 0.401470935926079
56, 57, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0057.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0058.png', 0.378842479530129
57, 58, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0058.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0059.png', 0.3845293245441832
58, 59, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0059.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0060.png', 0.3722481110961615
59, 60, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0060.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0061.png', 0.3956906346284036
60, 61, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0061.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0062.png', 0.34043496316026683
61, 62, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0062.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0063.png', 0.37566433995085313
62, 63, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0063.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0064.png', 0.2941866784666423
63, 64, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0064.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0065.png', 0.38521328895714657
64, 65, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0065.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0066.png', 0.31363147356002624
65, 66, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0066.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0067.png', 0.3813797659930494
66, 67, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0067.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0068.png', 0.3287113889538885
67, 68, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0068.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0069.png', 0.4230551103451315
68, 69, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0069.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0070.png', 0.3633360540843905
69, 70, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0070.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0071.png', 0.3671846881465588
70, 71, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0071.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0072.png', 0.4302438213414037
71, 72, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0072.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0073.png', 0.3419348788934677
72, 73, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0073.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0074.png', 0.3630464536191718
73, 74, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0074.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0075.png', 0.3623701991553656
74, 75, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0075.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0076.png', 0.3871368514435178
75, 76, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0076.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0077.png', 0.3135268946566168
76, 77, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0077.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0078.png', 0.3960572717572084
77, 78, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0078.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0079.png', 0.37468564949926
78, 79, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0079.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0080.png', 0.40545588967548396
79, 80, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0080.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0081.png', 0.3084858637406969
80, 81, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0081.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0082.png', 0.42772106459487047
81, 82, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0082.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0083.png', 0.3643004253830946
82, 83, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0083.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0084.png', 0.4524509952479411
83, 84, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0084.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0085.png', 0.32138989141536767
84, 85, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0085.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0086.png', 0.4107304678659908
85, 86, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0086.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0087.png', 0.36756825838765467
86, 87, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0087.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0088.png', 0.4207385584522296
87, 88, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0088.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0089.png', 0.3710734621726011
88, 89, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0089.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0090.png', 0.3659044277152937
89, 90, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0090.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0091.png', 0.32894941255476234
90, 91, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0091.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0092.png', 0.29292548864148094
91, 92, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0092.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0093.png', 0.2923480581894567
92, 93, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0093.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0094.png', 0.3060201706620541
93, 94, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0094.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0095.png', 0.3227650389993708
94, 95, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0095.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0096.png', 0.30605546555370056
95, 96, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0096.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0097.png', 0.2546262416664246
96, 97, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0097.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0098.png', 0.2707654588189254
97, 98, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0098.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0099.png', 0.2524267753989665
98, 99, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0099.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0100.png', 0.1996005283617987
99, 100, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0100.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0101.png', 0.19316764174790696
100, 101, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0101.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0102.png', 0.16902380041786214
101, 102, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0102.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0103.png', 0.1650167615208931
102, 103, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0103.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0104.png', 0.19755081474958858
103, 104, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0104.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0105.png', 0.22610850774780783
104, 105, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0105.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0106.png', 0.25520364068272056
105, 106, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0106.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0107.png', 0.32867737808029984
106, 107, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0107.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0108.png', 0.3293232641228767
107, 108, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0108.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0109.png', 0.28839938495516776
108, 109, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0109.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0110.png', 0.2888717031626022
109, 110, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0110.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0111.png', 0.2608696324060715
110, 111, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0111.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0112.png', 0.298097472684284
111, 112, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0112.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0113.png', 0.23407594086836667
112, 113, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0113.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0114.png', 0.2952296563154391
113, 114, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0114.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0115.png', 0.2697534216868238
114, 115, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0115.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0116.png', 0.2694156849605492
115, 116, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0116.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0117.png', 0.2988480120824645
116, 117, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0117.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0118.png', 0.2827020910632849
117, 118, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0118.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0119.png', 0.2000265233774702
118, 119, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0119.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0120.png', 0.273977339972325
119, 120, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0120.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0121.png', 0.27248563713736446
120, 121, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0121.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0122.png', 0.347700762089836
121, 122, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0122.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0123.png', 0.33342075756044864
122, 123, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0123.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0124.png', 0.2958761104910987
123, 124, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0124.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0125.png', 0.3210800579904261
124, 125, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0125.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0126.png', 0.31669117442833117
125, 126, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0126.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0127.png', 0.38871476026123475
126, 127, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0127.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0128.png', 0.3154760839364984
127, 128, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0128.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0129.png', 0.33899831792779855
128, 129, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0129.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0130.png', 0.27687528255289773
129, 130, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0130.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0131.png', 0.3689408003476442
130, 131, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0131.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0132.png', 0.3609186237402732
131, 132, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0132.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0133.png', 0.3498410688129558
132, 133, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0133.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0134.png', 0.38685798762138346
133, 134, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0134.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0135.png', 0.3894868089801597
134, 135, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0135.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0136.png', 0.43339039341800034
135, 136, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0136.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0137.png', 0.39130511562238113
136, 137, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0137.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0138.png', 0.33859679947236776
137, 138, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0138.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0139.png', 0.3844359992723624
138, 139, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0139.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0140.png', 0.41661235512560535
139, 140, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0140.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0141.png', 0.3432651055143825
140, 141, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0141.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0142.png', 0.3652953891554499
141, 142, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0142.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0143.png', 0.3314600614922064
142, 143, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0143.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0144.png', 0.4005617574627221
143, 144, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0144.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0145.png', 0.35282522301618774
144, 145, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0145.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0146.png', 0.38418706445677264
145, 146, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0146.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0147.png', 0.3828161665558282
146, 147, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0147.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0148.png', 0.3519413010570587
147, 148, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0148.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0149.png', 0.3413686695285082
148, 149, './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0149.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/mmaps/map0150.png', 0.3582648601792122
