0, 1, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00002.png', 5.083840693468752
19, 20, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00021.png', 4.0885420422714915
20, 21, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00022.png', 3.979033571517002
21, 22, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00023.png', 3.553854802902446
22, 23, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00024.png', 4.189072110638805
23, 24, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00025.png', 4.152724154790174
24, 25, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00026.png', 4.64452961302568
25, 26, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00027.png', 4.662708191754999
26, 27, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00028.png', 4.766677070598151
27, 28, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00029.png', 5.066708940778063
28, 29, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00030.png', 4.654732449721235
29, 30, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00030.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00031.png', 5.4108042776878555
30, 31, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00031.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/2/flow_x_00032.png', 5.849227096032551
