0, 1, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00002.png', 4.5987211259436975
18, 19, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00020.png', 4.465034581085959
19, 20, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00021.png', 5.001337512242903
20, 21, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00022.png', 4.509099047070823
21, 22, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00023.png', 5.357474600627222
22, 23, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00024.png', 5.051972675432839
23, 24, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00025.png', 4.923909387320468
24, 25, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00026.png', 4.7862661439686995
25, 26, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00027.png', 5.409883814903907
26, 27, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00028.png', 5.738416192794625
27, 28, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00029.png', 5.254354460421352
28, 29, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00030.png', 5.307621363253762
29, 30, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00031.png', 6.154747670139444
30, 31, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00032.png', 5.426238694420255
31, 32, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00033.png', 5.485835106168174
32, 33, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00034.png', 5.687578253981845
33, 34, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00035.png', 5.984172589667872
34, 35, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00036.png', 5.705665068743699
35, 36, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00037.png', 5.26388481897238
36, 37, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00038.png', 5.134435534721646
37, 38, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00039.png', 5.831449204041447
38, 39, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00040.png', 6.289549836833543
39, 40, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00041.png', 5.026207073581183
40, 41, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00042.png', 4.7102556644160485
41, 42, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00043.png', 5.028595306286216
42, 43, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00044.png', 4.892377877745082
43, 44, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00045.png', 4.562060626213525
44, 45, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00046.png', 4.2777778264788955
45, 46, './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S3/pour_chocolate,bread/1/flow_x_00047.png', 3.4437920729927773
