0, 1, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0001.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0002.png', 0.3730088755869549
46, 47, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0047.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0048.png', 0.33752481126684636
47, 48, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0048.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0049.png', 0.3176615104099094
48, 49, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0049.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0050.png', 0.29364649385780034
49, 50, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0050.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0051.png', 0.23555207988336613
50, 51, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0051.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0052.png', 0.2849363960148327
51, 52, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0052.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0053.png', 0.29321399497641887
52, 53, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0053.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0054.png', 0.24710521820416054
53, 54, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0054.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0055.png', 0.2961273213393791
54, 55, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0055.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0056.png', 0.27902093380104176
55, 56, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0056.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0057.png', 0.285119162831196
56, 57, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0057.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0058.png', 0.324890450867936
57, 58, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0058.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0059.png', 0.36871756729505356
58, 59, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0059.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0060.png', 0.2303480882176876
59, 60, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0060.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0061.png', 0.24562024351728273
60, 61, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0061.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0062.png', 0.2718878888202685
61, 62, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0062.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0063.png', 0.27887320868757215
62, 63, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0063.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0064.png', 0.3446256419783644
63, 64, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0064.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0065.png', 0.3156498163491367
64, 65, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0065.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0066.png', 0.3067609319738919
65, 66, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0066.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0067.png', 0.288435730427588
66, 67, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0067.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0068.png', 0.28894433427061605
67, 68, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0068.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0069.png', 0.3137708842005994
68, 69, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0069.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0070.png', 0.31244519395082393
69, 70, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0070.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0071.png', 0.3079935263315743
70, 71, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0071.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0072.png', 0.2628471957692232
71, 72, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0072.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0073.png', 0.26727212050673194
72, 73, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0073.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0074.png', 0.2186805019828615
73, 74, './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0074.png', './GTEA61/processed_frames2/S4/spread_jam,spoon,bread/2/mmaps/map0075.png', 0.21459642899537135
