0, 1, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0002.png', 5.05611928206487
14, 15, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0016.png', 5.088139687387156
15, 16, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0017.png', 5.069082852286794
16, 17, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0018.png', 4.661019112153618
17, 18, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0019.png', 4.371146036539835
18, 19, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0020.png', 4.643535732678909
19, 20, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0021.png', 4.672607925421921
20, 21, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0022.png', 4.9628695839944
21, 22, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0023.png', 5.271838369971061
22, 23, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0024.png', 5.248289402491916
23, 24, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0025.png', 5.142276640302538
24, 25, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0026.png', 4.983870134939261
25, 26, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0027.png', 4.842807881745545
26, 27, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0028.png', 5.17735349299053
27, 28, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0029.png', 5.220717490416514
28, 29, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0030.png', 5.028031631264897
29, 30, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0031.png', 4.722970994306233
30, 31, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0032.png', 4.822367998977703
31, 32, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0033.png', 4.398076306957851
32, 33, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0034.png', 4.3524322816982055
33, 34, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0035.png', 4.64505596021245
34, 35, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0036.png', 4.677055055105296
35, 36, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0037.png', 4.448889032603883
36, 37, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0038.png', 4.774836381080968
37, 38, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0039.png', 5.020709523031799
38, 39, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0040.png', 4.838065794293098
39, 40, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0041.png', 4.495723285037233
40, 41, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0042.png', 4.877977614462977
41, 42, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0043.png', 4.950174032894485
42, 43, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0044.png', 5.068155333633681
43, 44, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0045.png', 4.786073075505535
44, 45, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0046.png', 4.24644753318835
45, 46, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0047.png', 4.500599621632773
46, 47, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0048.png', 4.615941383381313
47, 48, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0049.png', 4.464960349674444
48, 49, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0050.png', 4.654709945792463
49, 50, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0051.png', 4.668654370507011
50, 51, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0052.png', 4.2007102115437505
51, 52, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0053.png', 4.560552765030248
52, 53, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0054.png', 4.958475074345949
53, 54, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0055.png', 4.296986182140136
54, 55, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0056.png', 4.895549476757324
55, 56, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0057.png', 4.7238806274584295
56, 57, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0058.png', 4.259528593818873
57, 58, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0059.png', 4.266663621342595
58, 59, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0060.png', 4.6303544645265475
59, 60, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0061.png', 4.649288853162649
60, 61, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0062.png', 4.339789342434773
61, 62, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0063.png', 4.532016636314479
62, 63, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0064.png', 4.278263588781356
63, 64, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0065.png', 4.273811604360632
64, 65, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0066.png', 5.0154581801300795
65, 66, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0067.png', 4.528363335913758
66, 67, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0068.png', 4.85186837280546
67, 68, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0069.png', 4.809136991962938
68, 69, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0070.png', 4.509244489716295
69, 70, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0071.png', 4.9071895811376605
70, 71, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0072.png', 5.09253578301092
71, 72, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0073.png', 5.03452510369043
72, 73, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0074.png', 4.855328172183203
73, 74, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0075.png', 4.741332491970936
74, 75, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0076.png', 4.571320073389274
75, 76, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0077.png', 4.97602181979163
76, 77, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0078.png', 4.394560460735039
77, 78, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0079.png', 4.52508503937624
78, 79, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0080.png', 4.605088136638399
79, 80, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0081.png', 4.963528875798141
80, 81, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0082.png', 4.580509449410674
81, 82, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0083.png', 4.1404844933153395
82, 83, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0084.png', 4.323595442625556
83, 84, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0085.png', 4.43748809144374
84, 85, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0086.png', 4.69807903108652
85, 86, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0087.png', 4.812705350597114
86, 87, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0088.png', 4.611507623859576
87, 88, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0089.png', 4.346926144640152
88, 89, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0090.png', 4.492096951939532
89, 90, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0090.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0091.png', 4.572763875953523
90, 91, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0091.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0092.png', 4.706818568043668
91, 92, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0092.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0093.png', 4.155845888310453
92, 93, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0093.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0094.png', 4.7168389403178015
93, 94, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0094.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0095.png', 4.988710956759656
94, 95, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0095.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0096.png', 4.724707906217565
95, 96, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0096.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0097.png', 5.060844172948543
96, 97, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0097.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0098.png', 5.491651250967919
97, 98, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0098.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0099.png', 5.911865666648227
98, 99, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0099.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0100.png', 6.025351988583262
99, 100, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0100.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0101.png', 5.996962454149161
100, 101, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0101.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0102.png', 5.875358495032207
101, 102, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0102.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0103.png', 5.701590441335393
102, 103, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0103.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0104.png', 5.480543509268029
103, 104, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0104.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0105.png', 4.896136418007309
104, 105, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0105.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0106.png', 4.459645735166694
105, 106, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0106.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0107.png', 4.383011379469718
106, 107, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0107.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0108.png', 4.548645075930594
107, 108, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0108.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0109.png', 4.608305022236827
108, 109, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0109.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0110.png', 4.975654011498567
109, 110, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0110.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0111.png', 5.02823225963522
110, 111, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0111.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0112.png', 4.772263418041606
111, 112, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0112.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0113.png', 4.819715890591206
112, 113, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0113.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0114.png', 5.030078676553897
113, 114, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0114.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0115.png', 5.003769270147116
114, 115, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0115.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0116.png', 5.080274017838338
115, 116, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0116.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0117.png', 5.308687129024995
116, 117, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0117.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0118.png', 5.389256309148683
117, 118, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0118.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0119.png', 4.986332439421834
118, 119, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0119.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0120.png', 4.79393987249688
119, 120, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0120.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0121.png', 5.258684730599832
120, 121, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0121.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0122.png', 5.407470623525916
121, 122, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0122.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0123.png', 5.389316021488248
122, 123, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0123.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0124.png', 5.173182891903726
123, 124, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0124.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0125.png', 5.192342771001571
124, 125, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0125.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0126.png', 5.235730976257368
125, 126, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0126.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0127.png', 5.169389053930967
126, 127, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0127.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0128.png', 5.2954774924146735
127, 128, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0128.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0129.png', 5.103476800895913
128, 129, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0129.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0130.png', 4.902247794389307
129, 130, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0130.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0131.png', 4.626995219048422
130, 131, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0131.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0132.png', 4.519865611073292
131, 132, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0132.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0133.png', 4.525810920728907
132, 133, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0133.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0134.png', 4.580241439800597
133, 134, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0134.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0135.png', 4.694833126831842
134, 135, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0135.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0136.png', 4.300922084775072
135, 136, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0136.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0137.png', 4.654449542382149
136, 137, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0137.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0138.png', 4.882466623777619
137, 138, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0138.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0139.png', 4.970597181411258
138, 139, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0139.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0140.png', 4.824025615996417
139, 140, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0140.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0141.png', 4.53389116607934
140, 141, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0141.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0142.png', 4.869041792456003
141, 142, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0142.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0143.png', 4.632465158465328
142, 143, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0143.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0144.png', 4.548729616051593
143, 144, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0144.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0145.png', 4.214170873794951
144, 145, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0145.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0146.png', 4.840192177468141
145, 146, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0146.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0147.png', 5.128305365052562
146, 147, './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0147.png', './GTEA61/processed_frames2/S1/shake_tea,cup/1/rgb/rgb0148.png', 4.882408788719476
