0, 1, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00002.png', 5.657777519658112
18, 19, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00020.png', 4.8580879434012
19, 20, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00021.png', 3.9018124800468788
20, 21, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00022.png', 3.9930925665600228
21, 22, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00023.png', 3.7007125320803813
22, 23, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00024.png', 4.336776496803788
23, 24, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00025.png', 4.027725033426187
24, 25, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00026.png', 3.9116259268316664
25, 26, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00027.png', 3.3795847725116452
26, 27, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00028.png', 3.083648411578785
27, 28, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00029.png', 3.4463614978209725
28, 29, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00030.png', 3.6974220628740513
29, 30, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00031.png', 3.5152443389443193
30, 31, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00032.png', 4.144106767971045
31, 32, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00033.png', 4.129373587905861
32, 33, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00034.png', 3.786451586231919
33, 34, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00035.png', 3.7162193694609047
34, 35, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00036.png', 4.371026432910263
35, 36, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00037.png', 4.92293866032271
36, 37, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00038.png', 4.6444134685110825
37, 38, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00039.png', 4.915271372200663
38, 39, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00040.png', 5.150747119662568
39, 40, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00041.png', 4.8070910475558755
40, 41, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00042.png', 4.7320328652495505
41, 42, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00043.png', 3.8488292871688223
42, 43, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00044.png', 4.3374522730442795
43, 44, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00045.png', 4.781225158352382
44, 45, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00046.png', 3.971399733080758
45, 46, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00047.png', 3.203790324186149
46, 47, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00048.png', 3.1639951052353315
47, 48, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00048.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00049.png', 3.0934374818430834
48, 49, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00049.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00050.png', 3.4593376452945885
49, 50, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00050.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00051.png', 4.377793004770434
50, 51, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00051.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00052.png', 3.737019065623623
51, 52, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00052.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00053.png', 3.1332067458978905
52, 53, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00053.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00054.png', 3.448513159412048
53, 54, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00054.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00055.png', 3.821235806653408
54, 55, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00055.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00056.png', 3.1163452187513205
55, 56, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00056.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00057.png', 3.4926879837874956
56, 57, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00057.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00058.png', 3.4906340004644574
57, 58, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00058.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00059.png', 3.9606214303630094
58, 59, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00059.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00060.png', 4.591819789989734
59, 60, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00060.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00061.png', 4.676456951386597
60, 61, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00061.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00062.png', 4.6248422571798065
61, 62, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00062.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00063.png', 4.6421144280003555
62, 63, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00063.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00064.png', 5.456978694603507
63, 64, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00064.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00065.png', 4.967903527302268
64, 65, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00065.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00066.png', 4.116295143255623
65, 66, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00066.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00067.png', 3.691550911035568
66, 67, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00067.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00068.png', 3.9199174592111423
67, 68, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00068.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00069.png', 4.992047923201246
68, 69, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00069.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00070.png', 4.707434893492035
69, 70, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00070.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00071.png', 3.154445103393493
70, 71, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00071.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00072.png', 3.330260343289936
71, 72, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00072.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00073.png', 3.288734382965247
72, 73, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00073.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00074.png', 3.646059008521094
73, 74, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00074.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00075.png', 3.7267988546722877
74, 75, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00075.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00076.png', 4.124832505900119
75, 76, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00076.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00077.png', 3.8408244523553274
76, 77, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00077.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00078.png', 4.000692316065246
77, 78, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00078.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00079.png', 4.303759752820825
78, 79, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00079.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00080.png', 4.084380015708227
79, 80, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00080.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00081.png', 4.187494966720942
80, 81, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00081.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00082.png', 3.6385438066045857
81, 82, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00082.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00083.png', 3.1993918575345943
82, 83, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00083.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00084.png', 4.37516972004878
83, 84, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00084.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00085.png', 4.529379997988011
84, 85, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00085.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00086.png', 4.0480317854864944
85, 86, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00086.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00087.png', 4.123050338835419
86, 87, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00087.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00088.png', 4.0009919593145185
87, 88, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00088.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00089.png', 3.609531027104536
88, 89, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00089.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00090.png', 3.667663257764872
89, 90, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00090.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00091.png', 2.919958736380863
90, 91, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00091.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00092.png', 3.94873780263654
91, 92, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00092.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00093.png', 4.0470095985052055
92, 93, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00093.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00094.png', 4.68207662018504
93, 94, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00094.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00095.png', 5.154181883187314
94, 95, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00095.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00096.png', 4.961704551180245
95, 96, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00096.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00097.png', 4.359842304704254
96, 97, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00097.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00098.png', 4.831297407489392
97, 98, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00098.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00099.png', 4.56287117180774
98, 99, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00099.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00100.png', 4.620158746561553
99, 100, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00100.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00101.png', 4.479551908170703
100, 101, './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00101.png', './GTEA61/flow_x_processed/S4/pour_water,cup/3/flow_x_00102.png', 5.088099330768393
