0, 1, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0002.png', 5.314936011010431
25, 26, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0027.png', 5.409084696354673
26, 27, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0028.png', 5.095914895685807
27, 28, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0029.png', 4.872511176028783
28, 29, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0030.png', 5.169040662451216
29, 30, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0031.png', 4.986326143492148
30, 31, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0032.png', 4.87330021782476
31, 32, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0033.png', 4.783138895870732
32, 33, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0034.png', 4.6849793520965015
33, 34, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0035.png', 5.219558029558358
34, 35, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0036.png', 5.019007827731714
35, 36, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0037.png', 5.070454158221653
36, 37, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0038.png', 5.654535979746641
37, 38, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0039.png', 5.461710064705632
38, 39, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0040.png', 5.138607074241191
39, 40, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0041.png', 5.4255273363022
40, 41, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0042.png', 5.1735315088780744
41, 42, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0043.png', 4.875404280576746
42, 43, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0044.png', 5.119109441954266
43, 44, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0045.png', 5.494115316915957
44, 45, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0046.png', 4.999661687009441
45, 46, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0047.png', 4.738366933222701
46, 47, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0048.png', 4.786035738763817
47, 48, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0049.png', 4.432751650723864
48, 49, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0050.png', 4.760024911664145
49, 50, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0051.png', 5.037900452099079
50, 51, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0052.png', 5.10613305575444
51, 52, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0053.png', 4.87475807927352
52, 53, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0054.png', 4.936369452601215
53, 54, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0055.png', 5.102556882467757
54, 55, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0056.png', 4.5748969708475675
55, 56, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0057.png', 4.780373619611176
56, 57, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0058.png', 4.852255246490359
57, 58, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0059.png', 4.972747056515371
58, 59, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0060.png', 4.862933102677701
59, 60, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0061.png', 5.039759129202478
60, 61, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0062.png', 5.002356654157898
61, 62, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0063.png', 5.065814215028814
62, 63, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0064.png', 4.589816805034376
63, 64, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0065.png', 5.004492312337213
64, 65, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0066.png', 4.765913305736569
65, 66, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0067.png', 5.15174445344949
66, 67, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0068.png', 5.12483207526694
67, 68, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0069.png', 5.218758246808378
68, 69, './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S4/scoop_jam,spoon/1/rgb/rgb0070.png', 5.737924054808461
