0, 1, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0002.png', 5.418690954365677
17, 18, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0019.png', 5.320145821526997
18, 19, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0020.png', 5.340250621383465
19, 20, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0021.png', 5.253739852857419
20, 21, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0022.png', 5.264518249889189
21, 22, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0023.png', 5.117797608344517
22, 23, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0024.png', 4.798233982575998
23, 24, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0025.png', 5.122683819978441
24, 25, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0026.png', 5.197803001402199
25, 26, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0027.png', 5.288608534819818
26, 27, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0028.png', 5.492989080357876
27, 28, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0029.png', 5.455998063489246
28, 29, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0030.png', 5.448785940269329
29, 30, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0031.png', 5.326084204149405
30, 31, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0032.png', 5.159414773370621
31, 32, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0033.png', 5.205456804072703
32, 33, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0034.png', 5.246839047610719
33, 34, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0035.png', 5.027499880694585
34, 35, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0036.png', 5.459613561373415
35, 36, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0037.png', 4.803847813722049
36, 37, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0038.png', 5.132283441130944
37, 38, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0039.png', 5.091314063634086
38, 39, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0040.png', 5.194837068538125
39, 40, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0041.png', 5.577768691936992
40, 41, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0042.png', 5.466755850470794
41, 42, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0043.png', 5.6452830116831505
42, 43, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0044.png', 5.6580776818819345
43, 44, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0045.png', 5.802758971609631
44, 45, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0046.png', 5.906220402258475
45, 46, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0047.png', 5.998801311837721
46, 47, './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S2/pour_chocolate,bread/1/rgb/rgb0048.png', 5.75406126069407
