0, 1, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00002.png', 6.78070696018737
49, 50, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00051.png', 4.268144804122298
50, 51, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00052.png', 4.2953427274182205
51, 52, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00053.png', 4.7279645540679205
52, 53, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00054.png', 5.027619285280753
53, 54, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00055.png', 5.845374397133671
54, 55, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00056.png', 6.448199867029578
55, 56, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00057.png', 6.34896096828713
56, 57, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00058.png', 5.700021882075732
57, 58, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00059.png', 5.801250890059741
58, 59, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00059.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00060.png', 5.5320758419959475
59, 60, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00060.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00061.png', 4.5446527516626025
60, 61, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00061.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00062.png', 5.088222473156453
61, 62, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00062.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00063.png', 4.478976562010189
62, 63, './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00063.png', './GTEA61/flow_x_processed/S3/put_bread,bread/1/flow_x_00064.png', 5.6045215424832096
