0, 1, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0002.png', 5.751219524453388
17, 18, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', 4.764444294354723
18, 19, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', 4.388517442817315
19, 20, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', 4.9178956420835105
20, 21, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', 5.243566996268217
21, 22, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', 5.284405554036294
22, 23, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', 5.475831218295245
23, 24, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', 5.4353996026552505
24, 25, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', 5.333822881634934
25, 26, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', 5.175000556172118
26, 27, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', 5.184941397788732
27, 28, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', 5.293258572653384
28, 29, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', 5.364794037746042
29, 30, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', 5.420388848096135
30, 31, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', 5.281073898617416
31, 32, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', 4.9457157139599195
32, 33, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', 4.717938762875284
33, 34, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', 4.762315100720265
34, 35, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', 4.779521973458327
35, 36, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', 4.74533176498588
36, 37, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', 4.930453486306379
37, 38, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', 5.462095184809956
38, 39, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', 5.341328203600573
39, 40, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', 5.1196039295285685
40, 41, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', 5.064749527351873
41, 42, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', 5.1639822777024245
42, 43, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', 4.561281960761738
43, 44, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', 5.108377129710491
44, 45, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', 5.192283510061195
45, 46, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', 4.9436922481033685
46, 47, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', 5.1650174064278245
47, 48, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', 5.4422424597430386
48, 49, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', 5.533224665846875
49, 50, './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/pour_mustard,hotdog,bread/1/rgb/rgb0051.png', 5.626341776361693
