0, 1, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00002.png', 5.102262302386632
15, 16, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00017.png', 4.991786747834484
16, 17, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00018.png', 4.950958752799746
17, 18, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00019.png', 4.409910156941025
18, 19, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00020.png', 4.518146353202098
19, 20, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00021.png', 4.848261055718542
20, 21, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00022.png', 4.777667855976826
21, 22, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00023.png', 3.8464409264670776
22, 23, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00024.png', 4.494991897347622
23, 24, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00025.png', 4.1984470661582245
24, 25, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00026.png', 4.192202155000879
25, 26, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00027.png', 3.494683937782116
26, 27, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00028.png', 4.194879645085384
27, 28, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00029.png', 4.001290401470797
28, 29, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00030.png', 4.235902467859088
29, 30, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00031.png', 4.415905156094406
30, 31, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00032.png', 4.391922581140671
31, 32, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00033.png', 4.119337402654124
32, 33, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00034.png', 4.034817175529446
33, 34, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00035.png', 4.411145695953203
34, 35, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00036.png', 4.986999865806476
35, 36, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00037.png', 4.027195028134908
36, 37, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00038.png', 4.2160976496358735
37, 38, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00039.png', 5.099453941552531
38, 39, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00040.png', 5.219887480572906
39, 40, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00040.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00041.png', 5.237796595714327
40, 41, './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00041.png', './GTEA61/flow_x_processed/S1/scoop_sugar,spoon/1/flow_x_00042.png', 5.872869181735455
