0, 1, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00002.png', 5.692031120281704
67, 68, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00069.png', 5.5044592870787445
68, 69, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00070.png', 5.332557166627342
69, 70, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00071.png', 4.453971324197674
70, 71, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00072.png', 4.696817640798911
71, 72, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00073.png', 4.18532183476805
72, 73, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00074.png', 4.565547401126163
73, 74, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00075.png', 5.585172008787942
74, 75, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00076.png', 4.604209619235362
75, 76, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00077.png', 4.344608319231326
76, 77, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00077.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00078.png', 6.859220824824683
77, 78, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00078.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00079.png', 6.32818050977855
78, 79, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00079.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00080.png', 5.751690081528191
79, 80, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00080.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00081.png', 5.092076174448051
80, 81, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00081.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00082.png', 4.412014248584717
81, 82, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00082.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00083.png', 5.131707038747393
82, 83, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00083.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00084.png', 3.5074871460263974
83, 84, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00084.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00085.png', 4.497865602388224
84, 85, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00085.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00086.png', 4.060549092771442
85, 86, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00086.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00087.png', 4.242802328090471
86, 87, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00087.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00088.png', 4.268618887980674
87, 88, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00088.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00089.png', 4.504145325997337
88, 89, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00089.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00090.png', 4.462998691898999
89, 90, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00090.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00091.png', 4.279714622274605
90, 91, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00091.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00092.png', 3.983849288453311
91, 92, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00092.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00093.png', 5.191320631217205
92, 93, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00093.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00094.png', 5.207020462471176
93, 94, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00094.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00095.png', 3.7578413616817152
94, 95, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00095.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00096.png', 4.20085728164164
95, 96, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00096.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00097.png', 4.049596230210161
96, 97, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00097.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00098.png', 3.4040529771892167
97, 98, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00098.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00099.png', 4.614530057865378
98, 99, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00099.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00100.png', 3.153021174716972
99, 100, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00100.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00101.png', 4.0351559852188865
100, 101, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00101.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00102.png', 5.101563465695628
101, 102, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00102.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00103.png', 5.3007474899963585
102, 103, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00103.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00104.png', 5.168352166763006
103, 104, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00104.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00105.png', 4.561258187817382
104, 105, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00105.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00106.png', 5.546411383887843
105, 106, './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00106.png', './GTEA61/flow_y_processed/S4/pour_mayonnaise,cheese,bread/1/flow_y_00107.png', 5.374927626533114
