0, 1, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0002.png', 5.560781562628538
22, 23, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0024.png', 5.150086690553091
23, 24, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0025.png', 5.125235315127173
24, 25, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0026.png', 4.824861904076785
25, 26, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0027.png', 5.220181787415022
26, 27, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0028.png', 4.968152477424554
27, 28, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0029.png', 4.965197465765857
28, 29, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0030.png', 5.458295597267565
29, 30, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0031.png', 5.36642915335052
30, 31, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0032.png', 5.544802596280153
31, 32, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0033.png', 5.73824596279861
32, 33, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0034.png', 5.692894142504751
33, 34, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0035.png', 5.206443875588494
34, 35, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0036.png', 5.223700403210839
35, 36, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0037.png', 5.840500588022868
36, 37, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0038.png', 5.390544492415914
37, 38, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0039.png', 5.492901176252092
38, 39, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0040.png', 5.396381410428894
39, 40, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0041.png', 5.503773404086269
40, 41, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0042.png', 5.948004469411844
41, 42, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0043.png', 5.961243148690183
42, 43, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0044.png', 5.791842581417796
43, 44, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0045.png', 5.519858147109526
44, 45, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0046.png', 5.206501785685704
45, 46, './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S3/pour_chocolate,bread/1/rgb/rgb0047.png', 4.629015400427611
