0, 1, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00002.png', 5.232343096999619
17, 18, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00019.png', 4.281887470514833
18, 19, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00020.png', 3.9492005602945106
19, 20, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00021.png', 4.513073560741408
20, 21, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00022.png', 3.9583491251580156
21, 22, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00023.png', 4.204651190983638
22, 23, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00024.png', 4.195242105034854
23, 24, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00025.png', 3.577748334274146
24, 25, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00026.png', 3.4397210905975566
25, 26, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00027.png', 3.667574130227787
26, 27, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00028.png', 4.091316481271013
27, 28, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00029.png', 4.54876287656118
28, 29, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00030.png', 3.7916999952722454
29, 30, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00031.png', 3.958418297045981
30, 31, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00032.png', 4.1297831759197265
31, 32, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00033.png', 3.9980192300955792
32, 33, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00034.png', 4.719134938435869
33, 34, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00035.png', 4.1140621407634
34, 35, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00036.png', 3.8507610491442
35, 36, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00037.png', 4.351483166604367
36, 37, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00038.png', 4.85836828336809
37, 38, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00039.png', 4.410151767294087
38, 39, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00040.png', 4.961494654559199
39, 40, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00041.png', 5.641824051786144
40, 41, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00042.png', 5.9956344914571
41, 42, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00043.png', 5.631718850682025
42, 43, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00044.png', 5.365738192608349
43, 44, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00045.png', 5.56726468870077
44, 45, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00046.png', 5.479576039449178
45, 46, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00047.png', 5.060330313262017
46, 47, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00048.png', 5.32824763400945
47, 48, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00049.png', 4.840603947585485
48, 49, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00050.png', 5.653607522131237
49, 50, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00051.png', 5.08332521201007
50, 51, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00052.png', 4.917127577250009
51, 52, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00053.png', 5.6509094841693575
52, 53, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00054.png', 5.208094530062115
53, 54, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00055.png', 5.391388090992488
54, 55, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00056.png', 5.458894084397509
55, 56, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00057.png', 4.823686855929779
56, 57, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00058.png', 5.141963677306448
57, 58, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00059.png', 5.354690865376243
58, 59, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00059.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00060.png', 4.807216514999374
59, 60, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00060.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00061.png', 5.329955588734653
60, 61, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00061.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00062.png', 4.7994566950214725
61, 62, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00062.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00063.png', 4.543004862341955
62, 63, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00063.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00064.png', 5.05575140390849
63, 64, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00064.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00065.png', 4.506804449274808
64, 65, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00065.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00066.png', 4.181971388560135
65, 66, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00066.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00067.png', 4.725781736584714
66, 67, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00067.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00068.png', 5.081807042520195
67, 68, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00068.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00069.png', 4.104133564747826
68, 69, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00069.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00070.png', 3.8681247527153864
69, 70, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00070.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00071.png', 3.721564141861265
70, 71, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00071.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00072.png', 3.8748320570855372
71, 72, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00072.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00073.png', 4.45163327328195
72, 73, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00073.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00074.png', 3.796666052551468
73, 74, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00074.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00075.png', 4.245852106006676
74, 75, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00075.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00076.png', 3.7849010324510624
75, 76, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00076.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00077.png', 4.254374288160419
76, 77, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00077.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00078.png', 4.177521492153812
77, 78, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00078.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00079.png', 3.9254421623520357
78, 79, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00079.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00080.png', 4.663075852376439
79, 80, './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00080.png', './GTEA61/flow_x_processed/S4/pour_honey,cup/1/flow_x_00081.png', 5.218123330756772
