0, 1, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0002.png', 5.815722886317808
27, 28, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0029.png', 4.17396555072715
28, 29, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0030.png', 4.3503119790530285
29, 30, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0031.png', 4.794803960764397
30, 31, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0032.png', 4.6966738843439835
31, 32, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0033.png', 4.970180337517936
32, 33, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0034.png', 4.979492601918253
33, 34, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0035.png', 4.9044275852882935
34, 35, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0036.png', 4.990256747226631
35, 36, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0037.png', 4.672008772617854
36, 37, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0038.png', 4.55385055014013
37, 38, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0039.png', 4.831963297402415
38, 39, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0040.png', 5.093711249752705
39, 40, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0041.png', 5.088747751264579
40, 41, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0042.png', 5.161891659518821
41, 42, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0043.png', 4.731446565212894
42, 43, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0044.png', 5.138677275116963
43, 44, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0045.png', 4.700269162269495
44, 45, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0046.png', 5.080498855688205
45, 46, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0047.png', 5.2947229169553465
46, 47, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0048.png', 5.213736247199864
47, 48, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0049.png', 5.189505270784278
48, 49, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0050.png', 5.365980325084879
49, 50, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0051.png', 5.139269852994134
50, 51, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0052.png', 5.147303144108857
51, 52, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0053.png', 5.246755880098266
52, 53, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0054.png', 5.32016640022038
53, 54, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0055.png', 5.197214800713001
54, 55, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0056.png', 5.261947777725277
55, 56, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0057.png', 5.169146671940424
56, 57, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0058.png', 5.155053988248901
57, 58, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0059.png', 4.8544623522667925
58, 59, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0060.png', 5.076156516175095
59, 60, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0061.png', 5.338628944025863
60, 61, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0062.png', 5.092694902814482
61, 62, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0063.png', 5.188726969244328
62, 63, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0064.png', 5.287752360293933
63, 64, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0065.png', 5.337286203765132
64, 65, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0066.png', 4.6017842018761845
65, 66, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0067.png', 5.894635934631344
66, 67, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0068.png', 6.331399120305419
67, 68, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0069.png', 6.363498008059403
68, 69, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0070.png', 6.341076490847157
69, 70, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0071.png', 6.300573752177163
70, 71, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0072.png', 6.095228982113022
71, 72, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0073.png', 5.7963615289906265
72, 73, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0074.png', 5.339064493051853
73, 74, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0075.png', 4.641459227875236
74, 75, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0076.png', 4.792157307619211
75, 76, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0077.png', 5.0137886514195005
76, 77, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0078.png', 4.869529818229724
77, 78, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0079.png', 4.729156618834034
78, 79, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0080.png', 4.77105128499115
79, 80, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0081.png', 5.136176554050959
80, 81, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0082.png', 5.231160036133181
81, 82, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0083.png', 4.9697958002161435
82, 83, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0084.png', 4.951934999860105
83, 84, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0085.png', 5.036532376921744
84, 85, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0086.png', 5.394066216640165
85, 86, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0087.png', 5.921800862884347
86, 87, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0088.png', 6.041014803887166
87, 88, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0089.png', 6.030083746418331
88, 89, './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S1/pour_mayonnaise,cheese,bread/1/rgb/rgb0090.png', 6.170570263257755
