0, 1, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00002.png', 5.6054649698627
33, 34, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00035.png', 5.712359369448439
34, 35, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00036.png', 5.177648414860849
35, 36, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00037.png', 4.998715323343972
36, 37, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00038.png', 4.577219784838884
37, 38, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00039.png', 5.062096681333487
38, 39, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00040.png', 4.873002776989746
39, 40, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00041.png', 5.172995038446507
40, 41, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00042.png', 4.73444933221722
41, 42, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00043.png', 5.290279063681746
42, 43, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00044.png', 5.388203085199968
43, 44, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00045.png', 5.3561116991800715
44, 45, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00046.png', 5.843613614098138
45, 46, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00047.png', 4.760800315113297
46, 47, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00048.png', 5.09001660212271
47, 48, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00048.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00049.png', 5.428945199171316
48, 49, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00049.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00050.png', 4.764015634369852
49, 50, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00050.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00051.png', 4.695039119336387
50, 51, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00051.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00052.png', 4.351201763984087
51, 52, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00052.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00053.png', 3.5965968956109005
52, 53, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00053.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00054.png', 3.440800455694062
53, 54, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00054.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00055.png', 3.4570146059767337
54, 55, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00055.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00056.png', 2.967616599728511
55, 56, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00056.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00057.png', 3.1282474065816093
56, 57, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00057.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00058.png', 3.1013087592925204
57, 58, './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00058.png', './GTEA61/flow_x_processed/S2/put_bread,bread/1/flow_x_00059.png', 2.862408700241989
