0, 1, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00002.png', 6.495239225573029
14, 15, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00016.png', 4.243955245842945
15, 16, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00017.png', 4.5208089329044725
16, 17, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00018.png', 4.512388323639053
17, 18, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00019.png', 4.1085971801635575
18, 19, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00020.png', 4.380513302524004
19, 20, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00021.png', 4.038795942942777
20, 21, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00022.png', 4.537488815047429
21, 22, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00023.png', 4.663445841621562
22, 23, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00024.png', 4.6885048956393
23, 24, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00025.png', 4.5109267857868245
24, 25, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00026.png', 4.939357273165493
25, 26, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00027.png', 4.508284102488524
26, 27, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00028.png', 4.527477557981183
27, 28, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00029.png', 4.964708553230588
28, 29, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00030.png', 5.261781045734993
29, 30, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00031.png', 4.857560503315499
30, 31, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00032.png', 4.503352631540082
31, 32, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00033.png', 4.611301416433099
32, 33, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00034.png', 5.2225684874570355
33, 34, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00035.png', 5.470764234362779
34, 35, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00036.png', 4.863504051202937
35, 36, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00037.png', 4.189177499737596
36, 37, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00038.png', 4.505275052078827
37, 38, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00039.png', 4.941611029908931
38, 39, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00040.png', 5.189173401363547
39, 40, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00041.png', 5.8866900704986875
40, 41, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00042.png', 5.783303288520992
41, 42, './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/pour_mustard,cheese,bread/1/flow_x_00043.png', 5.632818534308427
