0, 1, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00002.png', 4.581352861581306
16, 17, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00018.png', 4.760750910477581
17, 18, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00019.png', 4.3409427491092965
18, 19, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00020.png', 4.358283953827964
19, 20, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00021.png', 4.372264350167811
20, 21, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00022.png', 5.1578551284130425
21, 22, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00023.png', 4.675230302997699
22, 23, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00024.png', 4.825233700790918
23, 24, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00025.png', 4.891150564843666
24, 25, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00026.png', 4.439139200858249
25, 26, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00027.png', 5.319461978225182
26, 27, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00028.png', 4.7142769360603864
27, 28, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00029.png', 4.863978434074508
28, 29, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00030.png', 4.862190164054334
29, 30, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00030.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00031.png', 4.667377104011583
30, 31, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00031.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00032.png', 4.586342018049829
31, 32, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00032.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00033.png', 4.629723211013357
32, 33, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00033.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00034.png', 4.36832782223475
33, 34, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00034.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00035.png', 4.55402670147614
34, 35, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00035.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00036.png', 4.87152265910951
35, 36, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00036.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00037.png', 3.684212037637284
36, 37, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00037.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00038.png', 3.7952252674008626
37, 38, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00038.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00039.png', 4.19051098558882
38, 39, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00039.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00040.png', 3.6996049720382684
39, 40, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00040.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00041.png', 3.657567291190594
40, 41, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00041.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00042.png', 4.095518512245466
41, 42, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00042.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00043.png', 4.590643718900433
42, 43, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00043.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00044.png', 4.616663364495008
43, 44, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00044.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00045.png', 3.7409155852481755
44, 45, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00045.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00046.png', 3.976184544245622
45, 46, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00046.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00047.png', 4.500261875033064
46, 47, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00047.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00048.png', 4.720453231950752
47, 48, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00048.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00049.png', 4.448566300046425
48, 49, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00049.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00050.png', 4.078260956781836
49, 50, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00050.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00051.png', 4.458312764709036
50, 51, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00051.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00052.png', 4.1324865141583205
51, 52, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00052.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00053.png', 4.165393118813027
52, 53, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00053.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00054.png', 3.8331615997534954
53, 54, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00054.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00055.png', 3.8235112707872076
54, 55, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00055.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00056.png', 4.762532975637424
55, 56, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00056.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00057.png', 4.7664005885616065
56, 57, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00057.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00058.png', 4.684723517510031
57, 58, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00058.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00059.png', 4.2740212253046534
58, 59, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00059.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00060.png', 3.886962262085627
59, 60, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00060.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00061.png', 3.8290157728721854
60, 61, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00061.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00062.png', 4.832678696213724
61, 62, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00062.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00063.png', 5.090569557845403
62, 63, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00063.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00064.png', 4.485340277072944
63, 64, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00064.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00065.png', 4.659088656511354
64, 65, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00065.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00066.png', 4.819384125903138
65, 66, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00066.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00067.png', 3.873705921207325
66, 67, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00067.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00068.png', 4.760248959406653
67, 68, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00068.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00069.png', 4.677087601321784
68, 69, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00069.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00070.png', 4.347432993138444
69, 70, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00070.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00071.png', 4.768928631635051
70, 71, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00071.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00072.png', 4.961246925373172
71, 72, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00072.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00073.png', 3.9839546434871513
72, 73, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00073.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00074.png', 3.8938977938614134
73, 74, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00074.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00075.png', 4.464568600345771
74, 75, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00075.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00076.png', 4.450233372378316
75, 76, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00076.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00077.png', 4.364851685394498
76, 77, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00077.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00078.png', 4.62254926846416
77, 78, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00078.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00079.png', 4.197821931605141
78, 79, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00079.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00080.png', 4.4511004002866015
79, 80, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00080.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00081.png', 4.278915664268944
80, 81, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00081.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00082.png', 3.7495859705900076
81, 82, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00082.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00083.png', 3.6626994173378082
82, 83, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00083.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00084.png', 3.470734029897887
83, 84, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00084.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00085.png', 3.6172317806214878
84, 85, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00085.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00086.png', 3.618802456154748
85, 86, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00086.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00087.png', 4.37423218554076
86, 87, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00087.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00088.png', 4.836202830906522
87, 88, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00088.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00089.png', 4.425289851420721
88, 89, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00089.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00090.png', 4.3644128031479426
89, 90, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00090.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00091.png', 4.223483954922397
90, 91, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00091.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00092.png', 4.490792014939178
91, 92, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00092.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00093.png', 4.659308960187845
92, 93, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00093.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00094.png', 3.797737167211469
93, 94, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00094.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00095.png', 4.079522989763314
94, 95, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00095.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00096.png', 4.401345944016481
95, 96, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00096.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00097.png', 3.808970901214224
96, 97, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00097.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00098.png', 4.079596151869152
97, 98, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00098.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00099.png', 4.118344163489292
98, 99, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00099.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00100.png', 5.739081910892654
99, 100, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00100.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00101.png', 5.304394073495739
100, 101, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00101.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00102.png', 4.636617987895392
101, 102, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00102.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00103.png', 4.299878253837788
102, 103, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00103.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00104.png', 4.715005053917777
103, 104, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00104.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00105.png', 3.8672184759034813
104, 105, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00105.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00106.png', 3.91483567609039
105, 106, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00106.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00107.png', 4.222302109071299
106, 107, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00107.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00108.png', 4.0998891117381575
107, 108, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00108.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00109.png', 3.396136773342668
108, 109, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00109.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00110.png', 3.8071949491226005
109, 110, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00110.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00111.png', 4.2166417235989995
110, 111, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00111.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00112.png', 5.0039099716719075
111, 112, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00112.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00113.png', 4.789714592587945
112, 113, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00113.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00114.png', 4.120667314965109
113, 114, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00114.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00115.png', 4.403926111068958
114, 115, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00115.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00116.png', 4.155807107835492
115, 116, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00116.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00117.png', 4.670125169934499
116, 117, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00117.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00118.png', 4.76216208924255
117, 118, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00118.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00119.png', 4.483833278998601
118, 119, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00119.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00120.png', 4.699739202802731
119, 120, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00120.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00121.png', 4.5749590864547836
120, 121, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00121.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00122.png', 4.584713883000069
121, 122, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00122.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00123.png', 4.8516240651641604
122, 123, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00123.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00124.png', 4.25895807608519
123, 124, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00124.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00125.png', 4.495676804572791
124, 125, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00125.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00126.png', 4.989034576619852
125, 126, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00126.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00127.png', 5.048177657080651
126, 127, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00127.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00128.png', 4.572947727739998
127, 128, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00128.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00129.png', 5.474455653696606
128, 129, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00129.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00130.png', 4.9687856162696
129, 130, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00130.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00131.png', 4.258581383114956
130, 131, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00131.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00132.png', 4.200462190232236
131, 132, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00132.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00133.png', 4.575323001985296
132, 133, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00133.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00134.png', 4.1284904704006955
133, 134, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00134.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00135.png', 4.657377129056854
134, 135, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00135.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00136.png', 4.369313182257631
135, 136, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00136.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00137.png', 4.013956937735921
136, 137, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00137.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00138.png', 4.496912906838337
137, 138, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00138.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00139.png', 4.028977516050963
138, 139, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00139.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00140.png', 4.078733871277368
139, 140, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00140.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00141.png', 4.100197557904592
140, 141, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00141.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00142.png', 4.571208808092908
141, 142, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00142.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00143.png', 4.915693616269357
142, 143, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00143.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00144.png', 4.322657844810385
143, 144, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00144.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00145.png', 3.9592434066643207
144, 145, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00145.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00146.png', 4.18578577149065
145, 146, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00146.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00147.png', 4.221616548834464
146, 147, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00147.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00148.png', 5.005692778282818
147, 148, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00148.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00149.png', 4.489532196738417
148, 149, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00149.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00150.png', 4.697514913951533
149, 150, './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00150.png', './GTEA61/flow_x_processed/S1/shake_tea,cup/1/flow_x_00151.png', 4.864561211010816
