0, 1, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00002.png', 6.704774666008927
16, 17, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00018.png', 4.711282806693228
17, 18, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00019.png', 4.171678137929589
18, 19, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00020.png', 3.9237859035156886
19, 20, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00021.png', 4.042616437561657
20, 21, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00022.png', 4.437554609124901
21, 22, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00023.png', 4.933379067585228
22, 23, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00024.png', 4.243901154266345
23, 24, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00025.png', 5.4390412393473095
24, 25, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00026.png', 4.622860045037156
25, 26, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00027.png', 4.4480459144292315
26, 27, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00028.png', 5.936813018973037
27, 28, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00029.png', 5.857411204015213
28, 29, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00030.png', 4.161588502096515
29, 30, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00031.png', 5.240417806130093
30, 31, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00032.png', 4.517191487192536
31, 32, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00033.png', 4.133913051514011
32, 33, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00034.png', 4.391572643945602
33, 34, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00035.png', 4.510271897612032
34, 35, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00036.png', 4.590648131427636
35, 36, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00037.png', 5.806094664113895
36, 37, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00038.png', 4.729915284572416
37, 38, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00039.png', 4.083434191789507
38, 39, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00040.png', 5.394657763862372
39, 40, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00041.png', 4.821826793676584
40, 41, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00042.png', 4.7498218898228295
41, 42, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00043.png', 5.283356202682568
42, 43, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00044.png', 4.294454944901962
43, 44, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00045.png', 5.112793544488316
44, 45, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00046.png', 4.25294326544307
45, 46, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00047.png', 6.057971304839993
46, 47, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00048.png', 5.415483652887668
47, 48, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00049.png', 6.136001489473384
48, 49, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00050.png', 5.007359867068374
49, 50, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00051.png', 6.75011850172656
50, 51, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00052.png', 4.720744930704956
51, 52, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00053.png', 5.130771491216715
52, 53, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00054.png', 4.410945022275734
53, 54, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00055.png', 5.018043934167488
54, 55, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00056.png', 5.27297596507296
55, 56, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00057.png', 4.997053948675986
56, 57, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00058.png', 4.5227978302255325
57, 58, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00059.png', 6.1032464168594105
58, 59, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00060.png', 4.725899207889821
59, 60, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00061.png', 5.3565040951873595
60, 61, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00062.png', 5.836195718682933
61, 62, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00063.png', 4.999724997881848
62, 63, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00064.png', 5.838171186626088
63, 64, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00065.png', 4.6080894136922215
64, 65, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00066.png', 5.53015176399321
65, 66, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00067.png', 4.169880691564384
66, 67, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00068.png', 5.0355858228083585
67, 68, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00069.png', 4.6524622287684725
68, 69, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00070.png', 4.2020162721052925
69, 70, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00071.png', 5.234429650236515
70, 71, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00072.png', 6.664798558538224
71, 72, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00073.png', 6.504422413748724
72, 73, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00074.png', 6.127716882113335
73, 74, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00075.png', 6.310452346021299
74, 75, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00076.png', 5.201975351896098
75, 76, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00077.png', 5.818122595739283
76, 77, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00077.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00078.png', 4.675151213535601
77, 78, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00078.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00079.png', 5.849804290892518
78, 79, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00079.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00080.png', 5.044570124638487
79, 80, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00080.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00081.png', 5.288514294316987
80, 81, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00081.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00082.png', 5.029967635174231
81, 82, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00082.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00083.png', 5.763900772462191
82, 83, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00083.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00084.png', 4.968978853797876
83, 84, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00084.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00085.png', 4.50031880087773
84, 85, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00085.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00086.png', 4.696331486969359
85, 86, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00086.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00087.png', 4.444849833543628
86, 87, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00087.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00088.png', 4.747558884426975
87, 88, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00088.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00089.png', 5.799807433121381
88, 89, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00089.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00090.png', 5.579660909977589
89, 90, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00090.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00091.png', 5.191220552604695
90, 91, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00091.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00092.png', 5.503028992264948
91, 92, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00092.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00093.png', 3.921849463209503
92, 93, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00093.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00094.png', 4.581400623981679
93, 94, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00094.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00095.png', 6.233929862371722
94, 95, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00095.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00096.png', 6.25525746031105
95, 96, './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00096.png', './GTEA61/flow_y_processed/S3/pour_mustard,cheese,bread/1/flow_y_00097.png', 6.514889685209629
