0, 1, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00002.png', 6.205513510539324
52, 53, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00053.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00054.png', 5.775880378478462
53, 54, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00054.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00055.png', 6.707254245711625
54, 55, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00055.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00056.png', 4.692766705289767
55, 56, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00057.png', 5.599167106510043
56, 57, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00058.png', 6.074984065479844
57, 58, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00059.png', 6.030967688855062
58, 59, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00060.png', 4.802565959872514
59, 60, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00061.png', 5.858794756010773
60, 61, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00062.png', 4.7669837326846505
61, 62, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00063.png', 5.888157974729714
62, 63, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00064.png', 4.249555939649955
63, 64, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00065.png', 4.744374129909639
64, 65, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00066.png', 4.893913940712874
65, 66, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00067.png', 5.3512497842005065
66, 67, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00068.png', 5.250647494766484
67, 68, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00069.png', 5.14811783937159
68, 69, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00070.png', 4.853205228807009
69, 70, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00071.png', 6.225853191562803
70, 71, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00072.png', 4.974419429448417
71, 72, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00073.png', 6.465173218665613
72, 73, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00074.png', 5.327291352037424
73, 74, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00075.png', 5.8740559403437205
74, 75, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00076.png', 4.675471446231121
75, 76, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00077.png', 5.886970697744934
76, 77, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00078.png', 3.784163464776744
77, 78, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00078.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00079.png', 5.176911880044481
78, 79, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00079.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00080.png', 4.883197513202999
79, 80, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00080.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00081.png', 6.139362613573734
80, 81, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00081.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00082.png', 5.04155434232566
81, 82, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00082.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00083.png', 6.285668748755835
82, 83, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00083.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00084.png', 5.158215229382406
83, 84, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00084.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00085.png', 5.424760820046051
84, 85, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00085.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00086.png', 5.048070814845663
85, 86, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00086.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00087.png', 5.669675351875586
86, 87, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00087.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00088.png', 5.977661490314326
87, 88, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00088.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00089.png', 5.117212521032399
88, 89, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00089.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00090.png', 5.622306790705849
89, 90, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00090.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00091.png', 5.441644168408239
90, 91, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00091.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00092.png', 5.466473667583124
91, 92, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00092.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00093.png', 5.030345920594623
92, 93, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00093.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00094.png', 4.512593686022882
93, 94, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00094.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00095.png', 6.01950219189028
94, 95, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00095.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00096.png', 5.298277550336976
95, 96, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00096.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00097.png', 5.835164220559313
96, 97, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00097.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00098.png', 5.70693082293932
97, 98, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00098.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00099.png', 6.019838397434784
98, 99, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00099.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00100.png', 5.8188139642637005
99, 100, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00100.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00101.png', 5.468272482240775
100, 101, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00101.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00102.png', 5.877980949889467
101, 102, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00102.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00103.png', 4.727779688079472
102, 103, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00103.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00104.png', 6.110975200096217
103, 104, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00104.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00105.png', 6.175173022688077
104, 105, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00105.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00106.png', 4.42389681590504
105, 106, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00106.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00107.png', 4.608333989352083
106, 107, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00107.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00108.png', 5.004982118452231
107, 108, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00108.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00109.png', 5.039163371435275
108, 109, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00109.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00110.png', 6.388335672793157
109, 110, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00110.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00111.png', 5.7966480684837425
110, 111, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00111.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00112.png', 5.8447663968112895
111, 112, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00112.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00113.png', 6.3809427490917745
112, 113, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00113.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00114.png', 4.894068184775927
113, 114, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00114.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00115.png', 6.097013651092121
114, 115, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00115.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00116.png', 5.910515003127414
115, 116, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00116.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00117.png', 5.372178640693567
116, 117, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00117.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00118.png', 6.355735925918118
117, 118, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00118.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00119.png', 5.703675657911639
118, 119, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00119.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00120.png', 6.009989111665862
119, 120, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00120.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00121.png', 5.791767093475512
120, 121, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00121.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00122.png', 5.450044358087563
121, 122, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00122.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00123.png', 5.920855398744067
122, 123, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00123.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00124.png', 5.2421198798209145
123, 124, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00124.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00125.png', 4.02685701146266
124, 125, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00125.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00126.png', 4.961163608510554
125, 126, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00126.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00127.png', 4.852592805464361
126, 127, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00127.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00128.png', 4.854146636435053
127, 128, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00128.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00129.png', 5.735035575388568
128, 129, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00129.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00130.png', 5.5077001773981005
129, 130, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00130.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00131.png', 6.6182698828732525
130, 131, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00131.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00132.png', 4.923177224818504
131, 132, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00132.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00133.png', 5.644675872544181
132, 133, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00133.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00134.png', 4.629682727170592
133, 134, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00134.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00135.png', 5.89166901002511
134, 135, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00135.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00136.png', 4.957104509888133
135, 136, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00136.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00137.png', 4.6474091043101735
136, 137, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00137.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00138.png', 4.351893759401299
137, 138, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00138.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00139.png', 5.222833361923762
138, 139, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00139.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00140.png', 5.102096932438675
139, 140, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00140.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00141.png', 4.877917702936253
140, 141, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00141.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00142.png', 5.342571080781596
141, 142, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00142.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00143.png', 4.920719386151325
142, 143, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00143.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00144.png', 4.516832541798851
143, 144, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00144.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00145.png', 5.283942716933509
144, 145, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00145.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00146.png', 4.671661687200721
145, 146, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00146.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00147.png', 5.127139084987019
146, 147, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00147.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00148.png', 5.718857729539119
147, 148, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00148.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00149.png', 4.758626520199059
148, 149, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00149.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00150.png', 4.609137090818474
149, 150, './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00150.png', './GTEA61/flow_y_processed/S3/shake_tea,cup/1/flow_y_00151.png', 5.5275200664203155
