0, 1, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0002.png', 0.3125848761886594
12, 13, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0013.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0014.png', 0.2807171172805742
13, 14, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0014.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0015.png', 0.2806802955362049
14, 15, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0015.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0016.png', 0.2903951009261676
15, 16, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0016.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0017.png', 0.25389402950375317
16, 17, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0017.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0018.png', 0.2874172173318966
17, 18, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0018.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0019.png', 0.2910829809985821
18, 19, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0020.png', 0.2737165663278182
19, 20, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0021.png', 0.28723515637284613
20, 21, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0022.png', 0.2502575785675266
21, 22, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0023.png', 0.17119519230285182
22, 23, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0024.png', 0.1888332158135585
23, 24, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0025.png', 0.26629172114993976
24, 25, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0026.png', 0.28839938495516776
25, 26, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0027.png', 0.3799400897159807
26, 27, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0028.png', 0.36336822366896493
27, 28, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0029.png', 0.3318323959735393
28, 29, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0030.png', 0.3075007891427411
29, 30, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0031.png', 0.3237943821345912
30, 31, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0032.png', 0.34203474467074274
31, 32, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0033.png', 0.3324411870110485
32, 33, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0034.png', 0.30665516435031087
33, 34, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0035.png', 0.2937905907399739
34, 35, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0036.png', 0.39419132487724035
35, 36, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0037.png', 0.3796893756599281
36, 37, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0038.png', 0.355534665402477
37, 38, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0039.png', 0.35641352695741557
38, 39, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0040.png', 0.29691615742561295
39, 40, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0041.png', 0.2562798926533779
40, 41, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0042.png', 0.2648936727363885
41, 42, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0043.png', 0.24287445346717845
42, 43, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0044.png', 0.2234673585322085
43, 44, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0045.png', 0.20608013164287317
44, 45, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0046.png', 0.21896809688034605
45, 46, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0047.png', 0.24698812555079164
46, 47, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0048.png', 0.26269531607768726
47, 48, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0049.png', 0.17960622003264853
48, 49, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0050.png', 0.12197161155794317
49, 50, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0051.png', 0.19070159984195775
50, 51, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0052.png', 0.35357720885238836
51, 52, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0053.png', 0.30159201371558114
52, 53, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0054.png', 0.25796706488040533
53, 54, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0055.png', 0.37142291109954423
54, 55, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0056.png', 0.4386382322500778
55, 56, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0057.png', 0.4210322615561546
56, 57, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0058.png', 0.44542701611982216
57, 58, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0059.png', 0.4602536133596505
58, 59, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0059.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0060.png', 0.49396250030670585
59, 60, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0060.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0061.png', 0.49047530201167905
60, 61, './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0061.png', './GTEA61/processed_frames2/S1/pour_chocolate,bread/1/mmaps/map0062.png', 0.47084344104850934
