0, 1, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00002.png', 5.776100492343104
55, 56, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00056.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00057.png', 4.116636615507554
56, 57, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00057.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00058.png', 3.426603814614597
57, 58, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00058.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00059.png', 4.440618893986221
58, 59, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00059.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00060.png', 5.061942742179138
59, 60, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00060.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00061.png', 3.887934113508814
60, 61, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00061.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00062.png', 4.435063348091888
61, 62, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00062.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00063.png', 3.8287163043537165
62, 63, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00063.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00064.png', 4.010259123566348
63, 64, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00064.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00065.png', 4.812906713971151
64, 65, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00065.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00066.png', 4.010306990374823
65, 66, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00066.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00067.png', 4.307972313521881
66, 67, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00067.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00068.png', 4.331683127057302
67, 68, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00068.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00069.png', 3.846855867099058
68, 69, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00069.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00070.png', 3.7457388882266125
69, 70, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00070.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00071.png', 3.6196848984451746
70, 71, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00071.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00072.png', 3.7178666152500277
71, 72, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00072.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00073.png', 3.523911792964234
72, 73, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00073.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00074.png', 3.590889763422036
73, 74, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00074.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00075.png', 2.933329438520597
74, 75, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00075.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00076.png', 3.1273532552205774
75, 76, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00076.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00077.png', 3.390810976339573
76, 77, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00077.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00078.png', 3.3424806093691313
77, 78, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00078.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00079.png', 4.280775679474132
78, 79, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00079.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00080.png', 4.515052012205369
79, 80, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00080.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00081.png', 4.058772486600951
80, 81, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00081.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00082.png', 4.504221222090185
81, 82, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00082.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00083.png', 4.403888070001268
82, 83, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00083.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00084.png', 3.2813538113160545
83, 84, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00084.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00085.png', 3.610884725383286
84, 85, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00085.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00086.png', 4.287918757790972
85, 86, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00086.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00087.png', 3.9009701858802948
86, 87, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00087.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00088.png', 3.6240426352789625
87, 88, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00088.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00089.png', 4.487004510118394
88, 89, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00089.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00090.png', 3.9294127583477727
89, 90, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00090.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00091.png', 3.9334332460529073
90, 91, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00091.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00092.png', 4.106450264380536
91, 92, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00092.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00093.png', 3.585863337277922
92, 93, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00093.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00094.png', 3.357849985953263
93, 94, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00094.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00095.png', 3.281436820440068
94, 95, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00095.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00096.png', 4.029264137260898
95, 96, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00096.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00097.png', 3.804093964243211
96, 97, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00097.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00098.png', 4.324163279560813
97, 98, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00098.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00099.png', 4.664273286506154
98, 99, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00099.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00100.png', 4.108776921601442
99, 100, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00100.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00101.png', 4.339762468173623
100, 101, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00101.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00102.png', 4.536423526030796
101, 102, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00102.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00103.png', 4.57256371654475
102, 103, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00103.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00104.png', 4.9936864599446045
103, 104, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00104.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00105.png', 5.525809055200173
104, 105, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00105.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00106.png', 5.269883572205888
105, 106, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00106.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00107.png', 4.871899156460591
106, 107, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00107.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00108.png', 5.611119917768886
107, 108, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00108.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00109.png', 5.957407259397754
108, 109, './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00109.png', './GTEA61/flow_y_processed/S4/pour_water,cup/1/flow_y_00110.png', 5.707803460048204
