0, 1, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00002.png', 6.51413785210499
26, 27, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00028.png', 4.88198895095496
27, 28, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00029.png', 4.294066171861553
28, 29, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00030.png', 5.006807008354093
29, 30, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00031.png', 4.049709411765671
30, 31, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00032.png', 4.831242868637557
31, 32, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00033.png', 4.907868707125407
32, 33, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00034.png', 4.2906404663176065
33, 34, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00035.png', 4.089887149542854
34, 35, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00036.png', 3.5937199152313455
35, 36, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00037.png', 3.586085152744416
36, 37, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00038.png', 3.6110150173317437
37, 38, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00039.png', 4.278112828185797
38, 39, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00040.png', 3.6807591503422272
39, 40, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00041.png', 4.042285996041944
40, 41, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00042.png', 4.171267782470653
41, 42, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00043.png', 4.255723189098428
42, 43, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00044.png', 4.6209810961372835
43, 44, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00045.png', 4.618491295993993
44, 45, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00046.png', 4.1009741277981275
45, 46, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00047.png', 4.610267162004154
46, 47, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00048.png', 4.200862248843629
47, 48, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00049.png', 4.975676131796323
48, 49, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00050.png', 5.498549772117211
49, 50, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00051.png', 5.045957713111902
50, 51, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00052.png', 5.619783581365418
51, 52, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00053.png', 5.206432413617427
52, 53, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00054.png', 5.359984069091664
53, 54, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00055.png', 5.58821696742038
54, 55, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00056.png', 6.070054374883547
55, 56, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00057.png', 5.8582937737241
56, 57, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00058.png', 5.34169229248983
57, 58, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00059.png', 5.515059710714719
58, 59, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00060.png', 6.16975704669757
59, 60, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00061.png', 5.7011987821457595
60, 61, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00062.png', 5.662692561228902
61, 62, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00063.png', 5.739534581829459
62, 63, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00064.png', 5.29520438426699
63, 64, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00065.png', 5.400170107013944
64, 65, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00066.png', 5.7923463107800774
65, 66, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00067.png', 5.97773661489562
66, 67, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00068.png', 5.5024895907248315
67, 68, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00069.png', 5.480350606657973
68, 69, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00070.png', 6.019186060846723
69, 70, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00071.png', 6.194578488320627
70, 71, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00072.png', 6.284222519929728
71, 72, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00073.png', 5.618316956795221
72, 73, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00074.png', 5.169321911458146
73, 74, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00075.png', 5.237845242829605
74, 75, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00076.png', 5.507068269991999
75, 76, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00077.png', 5.967066406133439
76, 77, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00077.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00078.png', 4.959623281625781
77, 78, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00078.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00079.png', 5.554446930741505
78, 79, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00079.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00080.png', 5.489143896164631
79, 80, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00080.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00081.png', 4.45690219526398
80, 81, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00081.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00082.png', 5.739153469462781
81, 82, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00082.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00083.png', 5.686754605922159
82, 83, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00083.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00084.png', 5.2135655242525845
83, 84, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00084.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00085.png', 5.641376600179413
84, 85, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00085.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00086.png', 5.484183307176944
85, 86, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00086.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00087.png', 5.106091833804135
86, 87, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00087.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00088.png', 5.2268804985492405
87, 88, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00088.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00089.png', 4.71441616777782
88, 89, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00089.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00090.png', 5.531914944879117
89, 90, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00090.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00091.png', 4.816955146284658
90, 91, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00091.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00092.png', 5.297426463355188
91, 92, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00092.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00093.png', 5.480105296138549
92, 93, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00093.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00094.png', 4.715617056412657
93, 94, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00094.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00095.png', 4.759673959612864
94, 95, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00095.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00096.png', 4.936295383729651
95, 96, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00096.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00097.png', 4.17551034384627
96, 97, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00097.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00098.png', 5.008897202845962
97, 98, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00098.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00099.png', 5.305471206549845
98, 99, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00099.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00100.png', 5.042232577855583
99, 100, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00100.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00101.png', 4.910700165649504
100, 101, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00101.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00102.png', 4.833318785885063
101, 102, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00102.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00103.png', 6.2574124746670226
102, 103, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00103.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00104.png', 6.153897114534064
103, 104, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00104.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00105.png', 6.50710158631003
104, 105, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00105.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00106.png', 6.7598620572286485
105, 106, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00106.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00107.png', 7.15537261081345
106, 107, './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00107.png', './GTEA61/flow_y_processed/S4/pour_chocolate,bread/1/flow_y_00108.png', 7.638743810812852
