0, 1, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0002.png', 6.240078629057304
15, 16, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0017.png', 5.561365778563217
16, 17, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0018.png', 5.706032423478057
17, 18, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0019.png', 5.672889913479738
18, 19, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0020.png', 5.39429704195674
19, 20, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0021.png', 5.087370401100054
20, 21, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0022.png', 5.204393048255687
21, 22, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0023.png', 5.395465140283494
22, 23, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0024.png', 5.07258014093767
23, 24, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0025.png', 5.05048912602328
24, 25, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0026.png', 5.319698790051542
25, 26, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0027.png', 5.539739366886879
26, 27, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0028.png', 5.548692529348935
27, 28, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0029.png', 5.49955668186196
28, 29, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0030.png', 5.398540949351717
29, 30, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0031.png', 5.159073531228587
30, 31, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0032.png', 5.359920703388074
31, 32, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0033.png', 5.231529606980695
32, 33, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0034.png', 5.22227169908092
33, 34, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0035.png', 4.858075217120797
34, 35, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0036.png', 4.858135557797287
35, 36, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0037.png', 5.153638469245453
36, 37, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0038.png', 5.083622177514539
37, 38, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0039.png', 4.976868619567851
38, 39, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0040.png', 5.286714531819706
39, 40, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0041.png', 5.164272533131069
40, 41, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0042.png', 4.556956314584234
41, 42, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0043.png', 4.80967619063998
42, 43, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0044.png', 5.040354911658484
43, 44, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0045.png', 5.001689706488386
44, 45, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0046.png', 4.714387218623181
45, 46, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0047.png', 4.788003253999927
46, 47, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0048.png', 4.439740288538882
47, 48, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0049.png', 4.806890322819518
48, 49, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0050.png', 5.205854509521952
49, 50, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0051.png', 4.875032711129889
50, 51, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0052.png', 5.286742373207392
51, 52, './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S4/put_bread,cheese,bread/1/rgb/rgb0053.png', 4.81492896194237
