0, 1, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0002.png', 5.376777999709306
21, 22, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0023.png', 5.60928564148758
22, 23, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0024.png', 5.384108435638818
23, 24, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0025.png', 5.873640413696121
24, 25, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0026.png', 6.142621623370766
25, 26, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0027.png', 6.023149495081372
26, 27, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0028.png', 6.147088740501003
27, 28, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0029.png', 6.505598042953216
28, 29, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0030.png', 5.9920405865850235
29, 30, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0031.png', 5.2823160795159625
30, 31, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0032.png', 5.250871107942757
31, 32, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0033.png', 5.235590603697016
32, 33, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0034.png', 5.34038295529621
33, 34, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0034.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0035.png', 5.283156699647779
34, 35, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0035.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0036.png', 5.060861855035314
35, 36, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0036.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0037.png', 5.171320530461001
36, 37, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0037.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0038.png', 4.621957084960103
37, 38, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0038.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0039.png', 5.01515998574988
38, 39, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0039.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0040.png', 5.502397026666791
39, 40, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0040.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0041.png', 5.341543716034083
40, 41, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0041.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0042.png', 5.644914328731641
41, 42, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0042.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0043.png', 5.227552151818316
42, 43, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0043.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0044.png', 4.66485227680501
43, 44, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0044.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0045.png', 5.377550203797092
44, 45, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0045.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0046.png', 5.652788416349254
45, 46, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0046.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0047.png', 5.364228313470515
46, 47, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0047.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0048.png', 5.4092532706766265
47, 48, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0048.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0049.png', 4.6366269670638545
48, 49, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0049.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0050.png', 5.378020880440311
49, 50, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0050.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0051.png', 5.067829538309372
50, 51, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0051.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0052.png', 4.9920941542009345
51, 52, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0052.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0053.png', 4.946869497335513
52, 53, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0053.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0054.png', 4.964046468168623
53, 54, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0054.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0055.png', 5.703441423438608
54, 55, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0055.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0056.png', 5.215882459317896
55, 56, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0057.png', 5.482408721009986
56, 57, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0058.png', 5.495344647474349
57, 58, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0059.png', 5.0669546304395245
58, 59, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0060.png', 5.127104415811095
59, 60, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0061.png', 5.710721159298228
60, 61, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0062.png', 4.647831376779655
61, 62, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0063.png', 5.6513610832641605
62, 63, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0064.png', 4.838803398415822
63, 64, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0065.png', 5.484786708254788
64, 65, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0066.png', 4.579990474002913
65, 66, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0067.png', 5.361557469202688
66, 67, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0068.png', 5.12251345185783
67, 68, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0069.png', 5.027032962055852
68, 69, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0070.png', 5.383240088286209
69, 70, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0071.png', 5.395174741878563
70, 71, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0072.png', 5.458601868626643
71, 72, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0073.png', 5.431892894089655
72, 73, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0074.png', 4.917408185707602
73, 74, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0075.png', 5.546893048150215
74, 75, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0076.png', 5.621672534496528
75, 76, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0077.png', 5.269963888709366
76, 77, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0078.png', 5.503120698910526
77, 78, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0079.png', 5.573779324676381
78, 79, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0080.png', 5.4020266120566
79, 80, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0081.png', 5.257183466980885
80, 81, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0082.png', 5.371045078525442
81, 82, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0083.png', 5.42566811157494
82, 83, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0084.png', 5.256809759357117
83, 84, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0085.png', 5.222527558591268
84, 85, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0086.png', 5.375275311823783
85, 86, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0087.png', 5.493641121086508
86, 87, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0088.png', 5.611905527459287
87, 88, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0089.png', 4.9541177601385975
88, 89, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0090.png', 5.178530314798368
89, 90, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0090.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0091.png', 4.884038330177248
90, 91, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0091.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0092.png', 4.851388293320385
91, 92, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0092.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0093.png', 5.087287521029633
92, 93, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0093.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0094.png', 4.765242956018761
93, 94, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0094.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0095.png', 4.832166506242085
94, 95, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0095.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0096.png', 4.346700456410339
95, 96, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0096.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0097.png', 4.530851654099039
96, 97, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0097.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0098.png', 5.029542805663692
97, 98, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0098.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0099.png', 4.966929699927514
98, 99, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0099.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0100.png', 4.611081312872079
99, 100, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0100.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0101.png', 4.850115561882547
100, 101, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0101.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0102.png', 4.810802751128603
101, 102, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0102.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0103.png', 4.34634899203953
102, 103, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0103.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0104.png', 4.843649852716709
103, 104, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0104.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0105.png', 4.9864771776194345
104, 105, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0105.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0106.png', 4.842514937178842
105, 106, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0106.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0107.png', 4.99757272564402
106, 107, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0107.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0108.png', 4.7435507536275985
107, 108, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0108.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0109.png', 5.124371022774705
108, 109, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0109.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0110.png', 4.665526451433257
109, 110, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0110.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0111.png', 4.9338341598119895
110, 111, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0111.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0112.png', 4.751606336283608
111, 112, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0112.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0113.png', 4.673872587706772
112, 113, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0113.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0114.png', 4.456057085263004
113, 114, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0114.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0115.png', 4.679799218853376
114, 115, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0115.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0116.png', 4.767065589970462
115, 116, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0116.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0117.png', 4.585184787775683
116, 117, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0117.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0118.png', 4.490628705764792
117, 118, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0118.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0119.png', 4.852435827073265
118, 119, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0119.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0120.png', 4.960498144197459
119, 120, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0120.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0121.png', 5.301627380158288
120, 121, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0121.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0122.png', 4.9356572808661365
121, 122, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0122.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0123.png', 5.320104103790501
122, 123, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0123.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0124.png', 5.317117667754983
123, 124, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0124.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0125.png', 4.886985536617374
124, 125, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0125.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0126.png', 5.620970626135105
125, 126, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0126.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0127.png', 5.806342347814825
126, 127, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0127.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0128.png', 5.03923929407955
127, 128, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0128.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0129.png', 5.481658418610298
128, 129, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0129.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0130.png', 5.177112522248346
129, 130, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0130.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0131.png', 5.735405919365215
130, 131, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0131.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0132.png', 5.27433327397925
131, 132, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0132.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0133.png', 5.641030807362404
132, 133, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0133.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0134.png', 5.148174279000821
133, 134, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0134.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0135.png', 5.760148527748845
134, 135, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0135.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0136.png', 5.140485140461777
135, 136, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0136.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0137.png', 5.747733426076414
136, 137, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0137.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0138.png', 4.7530130919205344
137, 138, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0138.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0139.png', 5.393890647164836
138, 139, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0139.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0140.png', 5.17388930935206
139, 140, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0140.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0141.png', 5.160608384906448
140, 141, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0141.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0142.png', 5.25618045263914
141, 142, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0142.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0143.png', 5.149681623548463
142, 143, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0143.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0144.png', 5.324445754542961
143, 144, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0144.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0145.png', 5.484928522873511
144, 145, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0145.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0146.png', 5.270607295143356
145, 146, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0146.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0147.png', 4.884439049847741
146, 147, './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0147.png', './GTEA61/processed_frames2/S2/shake_tea,cup/1/rgb/rgb0148.png', 5.377136939667543
