0, 1, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0002.png', 5.342024308391421
55, 56, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0056.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0057.png', 3.9960128883297457
56, 57, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0057.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0058.png', 4.328700708897392
57, 58, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0058.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0059.png', 4.167520371211211
58, 59, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0059.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0060.png', 4.156866351699818
59, 60, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0060.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0061.png', 4.078853432335311
60, 61, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0061.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0062.png', 4.313558443124402
61, 62, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0062.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0063.png', 4.240645148176685
62, 63, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0063.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0064.png', 4.771841126030185
63, 64, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0064.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0065.png', 4.091897362448501
64, 65, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0065.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0066.png', 4.3947917465601485
65, 66, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0066.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0067.png', 4.275853829739174
66, 67, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0067.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0068.png', 4.202947523766716
67, 68, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0068.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0069.png', 4.18537279078975
68, 69, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0069.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0070.png', 4.206814512008516
69, 70, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0070.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0071.png', 4.549172061978026
70, 71, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0071.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0072.png', 4.877622732982108
71, 72, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0072.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0073.png', 4.755722127636186
72, 73, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0073.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0074.png', 5.020735804610262
73, 74, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0074.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0075.png', 4.164001813280948
74, 75, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0075.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0076.png', 4.4861848591241
75, 76, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0076.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0077.png', 4.940609455392664
76, 77, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0077.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0078.png', 4.876419374339224
77, 78, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0078.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0079.png', 4.632871205407532
78, 79, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0079.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0080.png', 4.83226706565933
79, 80, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0080.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0081.png', 4.634976910118028
80, 81, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0081.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0082.png', 4.352289537164216
81, 82, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0082.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0083.png', 4.534199390421288
82, 83, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0083.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0084.png', 4.580259899025676
83, 84, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0084.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0085.png', 4.470582158755502
84, 85, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0085.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0086.png', 4.567839137747478
85, 86, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0086.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0087.png', 4.67849388694076
86, 87, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0087.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0088.png', 5.054501159150693
87, 88, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0088.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0089.png', 5.347426041792155
88, 89, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0089.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0090.png', 5.612166217864729
89, 90, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0090.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0091.png', 5.568942750981753
90, 91, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0091.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0092.png', 5.799302955001695
91, 92, './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0092.png', './GTEA61/processed_frames2/S1/pour_honey,cup/1/rgb/rgb0093.png', 5.748868799634005
