0, 1, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00001.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00002.png', 5.263266331420637
13, 14, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00014.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00015.png', 4.1639753682141984
14, 15, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00015.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00016.png', 4.517289459150624
15, 16, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00016.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00017.png', 5.046385870451316
16, 17, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00017.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00018.png', 4.729851815605633
17, 18, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00018.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00019.png', 4.797447517572896
18, 19, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00019.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00020.png', 4.217020184487526
19, 20, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00020.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00021.png', 4.304513445332196
20, 21, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00021.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00022.png', 5.433064677604559
21, 22, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00022.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00023.png', 4.447658503489565
22, 23, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00023.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00024.png', 5.215744136871755
23, 24, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00024.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00025.png', 5.042392115342775
24, 25, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00025.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00026.png', 5.132370110297222
25, 26, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00026.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00027.png', 4.956734885672034
26, 27, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00027.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00028.png', 4.780520959564057
27, 28, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00028.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00029.png', 5.243969211466928
28, 29, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00029.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00030.png', 4.731126173300142
29, 30, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00030.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00031.png', 4.950607031963635
30, 31, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00031.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00032.png', 5.130386856355685
31, 32, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00032.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00033.png', 4.940971527531892
32, 33, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00033.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00034.png', 4.94749571762448
33, 34, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00034.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00035.png', 4.808793363114367
34, 35, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00035.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00036.png', 4.793795387459188
35, 36, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00036.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00037.png', 4.835002474059159
36, 37, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00037.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00038.png', 5.1781107425073785
37, 38, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00038.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00039.png', 5.067496102754109
38, 39, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00039.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00040.png', 5.553985661354851
39, 40, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00040.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00041.png', 5.525205388897246
40, 41, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00041.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00042.png', 5.453148261116044
41, 42, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00042.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00043.png', 5.627285205505712
42, 43, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00043.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00044.png', 5.607174929412388
43, 44, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00044.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00045.png', 6.596417389260607
44, 45, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00045.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00046.png', 5.941971318195324
45, 46, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00046.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00047.png', 4.79418186453188
46, 47, './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00047.png', './GTEA61/flow_x_processed/S2/pour_chocolate,bread/1/flow_x_00048.png', 4.866970826595275
