0, 1, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00001.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00002.png', 5.261831235325291
13, 14, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00014.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00015.png', 4.288364095012581
14, 15, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00015.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00016.png', 4.191323414362978
15, 16, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00016.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00017.png', 3.306960400103455
16, 17, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00017.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00018.png', 4.882914072828425
17, 18, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00018.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00019.png', 5.318247659519664
18, 19, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00019.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00020.png', 5.91802420807709
19, 20, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00020.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00021.png', 6.7802043079356284
20, 21, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00021.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00022.png', 7.110851891801033
21, 22, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00022.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00023.png', 6.974350458896797
22, 23, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00023.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00024.png', 7.260833517224367
23, 24, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00024.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00025.png', 7.75731361608497
24, 25, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00025.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00026.png', 7.1155031766986285
25, 26, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00026.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00027.png', 6.779292272499894
26, 27, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00027.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00028.png', 7.746867075782323
27, 28, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00028.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00029.png', 7.69081268654515
28, 29, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00029.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00030.png', 7.513552280060614
29, 30, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00030.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00031.png', 7.12335081396176
30, 31, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00031.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00032.png', 6.662558441803729
31, 32, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00032.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00033.png', 6.762206950118091
32, 33, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00033.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00034.png', 5.251674907787454
33, 34, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00034.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00035.png', 5.129761236730488
34, 35, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00035.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00036.png', 5.202684354332155
35, 36, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00036.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00037.png', 5.188027825895833
36, 37, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00037.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00038.png', 5.387810644741923
37, 38, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00038.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00039.png', 5.5479077245828625
38, 39, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00039.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00040.png', 4.576714728483299
39, 40, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00040.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00041.png', 5.522310069665382
40, 41, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00041.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00042.png', 4.111495264360813
41, 42, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00042.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00043.png', 4.536324648151898
42, 43, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00043.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00044.png', 4.150320425819152
43, 44, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00044.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00045.png', 3.6910942822838613
44, 45, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00045.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00046.png', 3.7964188453177052
45, 46, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00046.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00047.png', 4.9294061969358705
46, 47, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00047.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00048.png', 3.978447226780262
47, 48, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00048.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00049.png', 4.244126933709374
48, 49, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00049.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00050.png', 4.031875725325554
49, 50, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00050.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00051.png', 4.508253085786893
50, 51, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00051.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00052.png', 4.9204061485610024
51, 52, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00052.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00053.png', 3.7350366281780616
52, 53, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00053.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00054.png', 3.8156166940617235
53, 54, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00054.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00055.png', 3.663769901672614
54, 55, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00055.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00056.png', 4.595214904053431
55, 56, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00056.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00057.png', 4.672111697332767
56, 57, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00057.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00058.png', 4.237467873595418
57, 58, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00058.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00059.png', 4.781881216856203
58, 59, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00059.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00060.png', 3.7885961094957423
59, 60, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00060.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00061.png', 3.40346113831607
60, 61, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00061.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00062.png', 4.0238405663400885
61, 62, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00062.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00063.png', 3.5922249611274304
62, 63, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00063.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00064.png', 4.213654287773292
63, 64, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00064.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00065.png', 3.8788946302593543
64, 65, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00065.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00066.png', 4.5384689485096565
65, 66, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00066.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00067.png', 4.3795165608968984
66, 67, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00067.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00068.png', 4.770771246157546
67, 68, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00068.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00069.png', 4.386840187444662
68, 69, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00069.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00070.png', 4.327650387201798
69, 70, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00070.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00071.png', 4.019432208295617
70, 71, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00071.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00072.png', 4.455033291758686
71, 72, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00072.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00073.png', 4.5464886840938
72, 73, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00073.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00074.png', 4.975622617471474
73, 74, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00074.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00075.png', 4.794885449757097
74, 75, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00075.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00076.png', 4.795666072894024
75, 76, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00076.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00077.png', 4.405859538429024
76, 77, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00077.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00078.png', 4.095303014030067
77, 78, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00078.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00079.png', 4.866449074534525
78, 79, './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00079.png', './GTEA61/flow_y_processed/S2/pour_mustard,hotdog,bread/1/flow_y_00080.png', 5.771204565334406
