0, 1, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00001.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00002.png', 4.79561137880024
14, 15, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00015.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00016.png', 3.67248229664093
15, 16, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00016.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00017.png', 3.982523375916868
16, 17, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00017.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00018.png', 4.338818039343572
17, 18, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00018.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00019.png', 4.309339602659924
18, 19, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00019.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00020.png', 3.210748762107745
19, 20, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00020.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00021.png', 3.271893498977727
20, 21, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00021.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00022.png', 3.85601399178836
21, 22, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00022.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00023.png', 3.8145009100105063
22, 23, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00023.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00024.png', 3.8666167293043223
23, 24, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00024.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00025.png', 4.3450422177166566
24, 25, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00025.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00026.png', 4.177446761861802
25, 26, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00026.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00027.png', 4.406824839391773
26, 27, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00027.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00028.png', 4.8742607367078925
27, 28, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00028.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00029.png', 4.965500976044419
28, 29, './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00029.png', './GTEA61/flow_x_processed/S1/scoop_peanut,spoon/1/flow_x_00030.png', 4.863932887590413
