0, 1, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0001.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0002.png', 0.46610421917218203
18, 19, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0019.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0020.png', 0.23742151448702892
19, 20, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0020.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0021.png', 0.30016811808241073
20, 21, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0021.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0022.png', 0.2586558422722507
21, 22, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0022.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0023.png', 0.24448433083026735
22, 23, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0023.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0024.png', 0.3424673110840696
23, 24, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0024.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0025.png', 0.3911204416713468
24, 25, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0025.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0026.png', 0.438238292860898
25, 26, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0026.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0027.png', 0.4430493048380153
26, 27, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0027.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0028.png', 0.4141830418928669
27, 28, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0028.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0029.png', 0.3890854612932674
28, 29, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0029.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0030.png', 0.4263831198866418
29, 30, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0030.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0031.png', 0.4226451992568209
30, 31, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0031.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0032.png', 0.4150136110402762
31, 32, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0032.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0033.png', 0.41578388024488416
32, 33, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0033.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0034.png', 0.39379295190079855
33, 34, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0034.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0035.png', 0.3975521733421644
34, 35, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0035.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0036.png', 0.408877383192248
35, 36, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0036.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0037.png', 0.3452220125124471
36, 37, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0037.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0038.png', 0.19716557812799762
37, 38, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0038.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0039.png', 0.20019682261488694
38, 39, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0039.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0040.png', 0.20130239682649345
39, 40, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0040.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0041.png', 0.23991751848834664
40, 41, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0041.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0042.png', 0.23447528655007593
41, 42, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0042.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0043.png', 0.24311033422405598
42, 43, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0043.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0044.png', 0.18935532639603334
43, 44, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0044.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0045.png', 0.16897845704567827
44, 45, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0045.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0046.png', 0.18918135004568437
45, 46, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0046.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0047.png', 0.18128872475186614
46, 47, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0047.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0048.png', 0.17711610235188385
47, 48, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0048.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0049.png', 0.20032451006061555
48, 49, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0049.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0050.png', 0.22015792173095475
49, 50, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0050.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0051.png', 0.2008349433862907
50, 51, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0051.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0052.png', 0.1823924916689741
51, 52, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0052.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0053.png', 0.15768799819808943
52, 53, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0053.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0054.png', 0.13146120576782738
53, 54, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0054.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0055.png', 0.12619471532123885
54, 55, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0055.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0056.png', 0.1332836310193922
55, 56, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0056.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0057.png', 0.11565295145636462
56, 57, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0057.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0058.png', 0.06960855975840803
57, 58, './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0058.png', './GTEA61/processed_frames2/S2/put_bread,bread/1/mmaps/map0059.png', 0.046304369694441044
