0, 1, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0001.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0002.png', 5.291262446855024
13, 14, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0014.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0015.png', 5.452737629826411
14, 15, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0015.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0016.png', 5.145032870396658
15, 16, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0016.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0017.png', 4.780437856517407
16, 17, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0017.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0018.png', 4.510242341355195
17, 18, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0018.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0019.png', 4.841991526144949
18, 19, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0019.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0020.png', 4.86424678507861
19, 20, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0020.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0021.png', 5.0009795343084935
20, 21, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0021.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0022.png', 4.577684759062437
21, 22, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0022.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0023.png', 4.394257448211918
22, 23, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0023.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0024.png', 4.556102535686563
23, 24, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0024.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0025.png', 4.29903427326477
24, 25, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0025.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0026.png', 4.669782984784954
25, 26, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0026.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0027.png', 5.057275400216387
26, 27, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0027.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0028.png', 5.100307034736364
27, 28, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0028.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0029.png', 5.176207519433144
28, 29, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0029.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0030.png', 5.642013896224361
29, 30, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0030.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0031.png', 5.956677040502284
30, 31, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0031.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0032.png', 5.895206751366424
31, 32, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0032.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0033.png', 5.876620947461725
32, 33, './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0033.png', './GTEA61/processed_frames2/S1/put_cheese,bread/1/rgb/rgb0034.png', 5.696732678629625
